case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex269,ex269_udiv_hybrid_bdd_hi3_bmsb_resid_direct_synth_preset,1,279,76,21204,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/aigs/ex269_udiv_hybrid_bdd_hi3_bmsb_resid_direct_synth_preset.aig,unsigned low8_high8:a/b dbz=max exact; source=hybrid_bdd_hi3_bmsb_resid_direct; flow=synth_preset
ex269,ex269_udiv_hybrid_bdd_hi4_bmsb_resid_direct_abc_g_aig,1,332,77,25564,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/aigs/ex269_udiv_hybrid_bdd_hi4_bmsb_resid_direct_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=hybrid_bdd_hi4_bmsb_resid_direct; flow=abc_g_aig
ex269,ex269_udiv_hybrid_bdd_hi4_bmsb_resid_direct_wreduce_abc_g_aig,1,332,77,25564,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/aigs/ex269_udiv_hybrid_bdd_hi4_bmsb_resid_direct_wreduce_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=hybrid_bdd_hi4_bmsb_resid_direct; flow=wreduce_abc_g_aig
ex269,ex269_udiv_hybrid_bdd_hi4_bmsb_resid_direct_synth_preset,1,321,75,24075,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/aigs/ex269_udiv_hybrid_bdd_hi4_bmsb_resid_direct_synth_preset.aig,unsigned low8_high8:a/b dbz=max exact; source=hybrid_bdd_hi4_bmsb_resid_direct; flow=synth_preset
ex269,ex269_udiv_hybrid_bdd_hi2_interleave_resid_direct_abc_g_aig,1,268,75,20100,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/aigs/ex269_udiv_hybrid_bdd_hi2_interleave_resid_direct_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=hybrid_bdd_hi2_interleave_resid_direct; flow=abc_g_aig
ex269,ex269_udiv_hybrid_bdd_hi2_interleave_resid_direct_wreduce_abc_g_aig,1,268,75,20100,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/aigs/ex269_udiv_hybrid_bdd_hi2_interleave_resid_direct_wreduce_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=hybrid_bdd_hi2_interleave_resid_direct; flow=wreduce_abc_g_aig
ex269,ex269_udiv_hybrid_bdd_hi2_interleave_resid_direct_synth_preset,1,264,77,20328,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/aigs/ex269_udiv_hybrid_bdd_hi2_interleave_resid_direct_synth_preset.aig,unsigned low8_high8:a/b dbz=max exact; source=hybrid_bdd_hi2_interleave_resid_direct; flow=synth_preset
ex269,ex269_udiv_hybrid_bdd_hi3_interleave_resid_direct_abc_g_aig,1,298,79,23542,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/aigs/ex269_udiv_hybrid_bdd_hi3_interleave_resid_direct_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=hybrid_bdd_hi3_interleave_resid_direct; flow=abc_g_aig
ex269,ex269_udiv_hybrid_bdd_hi3_interleave_resid_direct_wreduce_abc_g_aig,1,298,79,23542,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/aigs/ex269_udiv_hybrid_bdd_hi3_interleave_resid_direct_wreduce_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=hybrid_bdd_hi3_interleave_resid_direct; flow=wreduce_abc_g_aig
ex269,ex269_udiv_hybrid_bdd_hi3_interleave_resid_direct_synth_preset,1,280,75,21000,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/aigs/ex269_udiv_hybrid_bdd_hi3_interleave_resid_direct_synth_preset.aig,unsigned low8_high8:a/b dbz=max exact; source=hybrid_bdd_hi3_interleave_resid_direct; flow=synth_preset
ex269,ex269_udiv_hybrid_bdd_hi4_interleave_resid_direct_abc_g_aig,1,336,83,27888,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/aigs/ex269_udiv_hybrid_bdd_hi4_interleave_resid_direct_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=hybrid_bdd_hi4_interleave_resid_direct; flow=abc_g_aig
ex269,ex269_udiv_hybrid_bdd_hi4_interleave_resid_direct_wreduce_abc_g_aig,1,336,83,27888,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/aigs/ex269_udiv_hybrid_bdd_hi4_interleave_resid_direct_wreduce_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=hybrid_bdd_hi4_interleave_resid_direct; flow=wreduce_abc_g_aig
ex269,ex269_udiv_hybrid_bdd_hi4_interleave_resid_direct_synth_preset,1,334,77,25718,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/aigs/ex269_udiv_hybrid_bdd_hi4_interleave_resid_direct_synth_preset.aig,unsigned low8_high8:a/b dbz=max exact; source=hybrid_bdd_hi4_interleave_resid_direct; flow=synth_preset
