case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex258,ex258_umul_dadda_bits_abc_g_aig,unsigned low7_high7:a*b,dadda_bits+abc_g_aig,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex258/verilog/ex258_umul_dadda_bits.v,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex258/aigs/ex258_umul_dadda_bits_abc_g_aig.aig,1,1,0,,,,6289,,,,0.425,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=dadda_bits; flow=abc_g_aig
ex258,ex258_umul_dadda_bits_synth_preset,unsigned low7_high7:a*b,dadda_bits+synth_preset,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex258/verilog/ex258_umul_dadda_bits.v,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex258/aigs/ex258_umul_dadda_bits_synth_preset.aig,1,1,0,,,,6289,,,,0.519,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=dadda_bits; flow=synth_preset
ex258,ex258_umul_dadda_bits_abc_g_aig_d20,unsigned low7_high7:a*b,dadda_bits+abc_g_aig_d20,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex258/verilog/ex258_umul_dadda_bits.v,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex258/aigs/ex258_umul_dadda_bits_abc_g_aig_d20.aig,1,1,0,,,,6289,,,,0.428,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=dadda_bits; flow=abc_g_aig_d20
ex258,ex258_umul_dadda_bits_synth_preset_d20,unsigned low7_high7:a*b,dadda_bits+synth_preset_d20,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex258/verilog/ex258_umul_dadda_bits.v,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex258/aigs/ex258_umul_dadda_bits_synth_preset_d20.aig,1,1,0,,,,6289,,,,0.515,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=dadda_bits; flow=synth_preset_d20
ex258,ex258_umul_dadda_bits_prefix_default,unsigned low7_high7:a*b,dadda_bits_prefix+default,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex258/verilog/ex258_umul_dadda_bits_prefix.v,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex258/aigs/ex258_umul_dadda_bits_prefix_default.aig,1,1,0,,,,6289,,,,0.441,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=dadda_bits_prefix; flow=default
ex258,ex258_umul_dadda_bits_prefix_abc_g_aig,unsigned low7_high7:a*b,dadda_bits_prefix+abc_g_aig,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex258/verilog/ex258_umul_dadda_bits_prefix.v,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex258/aigs/ex258_umul_dadda_bits_prefix_abc_g_aig.aig,1,1,0,,,,6289,,,,0.439,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=dadda_bits_prefix; flow=abc_g_aig
ex258,ex258_umul_dadda_bits_prefix_synth_preset,unsigned low7_high7:a*b,dadda_bits_prefix+synth_preset,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex258/verilog/ex258_umul_dadda_bits_prefix.v,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex258/aigs/ex258_umul_dadda_bits_prefix_synth_preset.aig,1,1,0,,,,6289,,,,0.531,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=dadda_bits_prefix; flow=synth_preset
ex258,ex258_umul_dadda_bits_prefix_abc_g_aig_d20,unsigned low7_high7:a*b,dadda_bits_prefix+abc_g_aig_d20,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex258/verilog/ex258_umul_dadda_bits_prefix.v,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex258/aigs/ex258_umul_dadda_bits_prefix_abc_g_aig_d20.aig,1,1,0,,,,6289,,,,0.439,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=dadda_bits_prefix; flow=abc_g_aig_d20
ex258,ex258_umul_dadda_bits_prefix_synth_preset_d20,unsigned low7_high7:a*b,dadda_bits_prefix+synth_preset_d20,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex258/verilog/ex258_umul_dadda_bits_prefix.v,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex258/aigs/ex258_umul_dadda_bits_prefix_synth_preset_d20.aig,1,1,0,,,,6289,,,,0.538,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=dadda_bits_prefix; flow=synth_preset_d20
ex259,ex259_umul_dadda_bits_default,unsigned low8_high8:a*b,dadda_bits+default,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex259/verilog/ex259_umul_dadda_bits.v,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex259/aigs/ex259_umul_dadda_bits_default.aig,1,1,0,,,,10000,,,,1.927,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; source=dadda_bits; flow=default
ex259,ex259_umul_dadda_bits_abc_g_aig,unsigned low8_high8:a*b,dadda_bits+abc_g_aig,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex259/verilog/ex259_umul_dadda_bits.v,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex259/aigs/ex259_umul_dadda_bits_abc_g_aig.aig,1,1,0,,,,10000,,,,1.948,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; source=dadda_bits; flow=abc_g_aig
ex259,ex259_umul_dadda_bits_synth_preset,unsigned low8_high8:a*b,dadda_bits+synth_preset,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex259/verilog/ex259_umul_dadda_bits.v,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex259/aigs/ex259_umul_dadda_bits_synth_preset.aig,1,1,0,,,,10000,,,,2.036,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; source=dadda_bits; flow=synth_preset
ex259,ex259_umul_dadda_bits_abc_g_aig_d20,unsigned low8_high8:a*b,dadda_bits+abc_g_aig_d20,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex259/verilog/ex259_umul_dadda_bits.v,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex259/aigs/ex259_umul_dadda_bits_abc_g_aig_d20.aig,1,1,0,,,,10000,,,,1.930,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; source=dadda_bits; flow=abc_g_aig_d20
ex259,ex259_umul_dadda_bits_synth_preset_d20,unsigned low8_high8:a*b,dadda_bits+synth_preset_d20,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex259/verilog/ex259_umul_dadda_bits.v,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex259/aigs/ex259_umul_dadda_bits_synth_preset_d20.aig,1,1,0,,,,10000,,,,2.024,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; source=dadda_bits; flow=synth_preset_d20
ex259,ex259_umul_dadda_bits_prefix_default,unsigned low8_high8:a*b,dadda_bits_prefix+default,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex259/verilog/ex259_umul_dadda_bits_prefix.v,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex259/aigs/ex259_umul_dadda_bits_prefix_default.aig,1,1,0,,,,10000,,,,1.997,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; source=dadda_bits_prefix; flow=default
ex259,ex259_umul_dadda_bits_prefix_abc_g_aig,unsigned low8_high8:a*b,dadda_bits_prefix+abc_g_aig,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex259/verilog/ex259_umul_dadda_bits_prefix.v,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex259/aigs/ex259_umul_dadda_bits_prefix_abc_g_aig.aig,1,1,0,,,,10000,,,,1.926,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; source=dadda_bits_prefix; flow=abc_g_aig
ex259,ex259_umul_dadda_bits_prefix_synth_preset,unsigned low8_high8:a*b,dadda_bits_prefix+synth_preset,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex259/verilog/ex259_umul_dadda_bits_prefix.v,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex259/aigs/ex259_umul_dadda_bits_prefix_synth_preset.aig,1,1,0,,,,10000,,,,2.071,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; source=dadda_bits_prefix; flow=synth_preset
ex259,ex259_umul_dadda_bits_prefix_abc_g_aig_d20,unsigned low8_high8:a*b,dadda_bits_prefix+abc_g_aig_d20,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex259/verilog/ex259_umul_dadda_bits_prefix.v,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex259/aigs/ex259_umul_dadda_bits_prefix_abc_g_aig_d20.aig,1,1,0,,,,10000,,,,1.923,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; source=dadda_bits_prefix; flow=abc_g_aig_d20
ex259,ex259_umul_dadda_bits_prefix_synth_preset_d20,unsigned low8_high8:a*b,dadda_bits_prefix+synth_preset_d20,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex259/verilog/ex259_umul_dadda_bits_prefix.v,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex259/aigs/ex259_umul_dadda_bits_prefix_synth_preset_d20.aig,1,1,0,,,,10000,,,,2.017,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; source=dadda_bits_prefix; flow=synth_preset_d20
