case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex264,ex264_smul_baugh_wooley_rows_cla_synth_preset_d13,1,490,32,15680,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex264/aigs/ex264_smul_baugh_wooley_rows_cla_synth_preset_d13.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_rows_cla; flow=synth_preset_d13
ex264,ex264_smul_baugh_wooley_rows_cla_synth_preset_d18,1,490,32,15680,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex264/aigs/ex264_smul_baugh_wooley_rows_cla_synth_preset_d18.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_rows_cla; flow=synth_preset_d18
ex264,ex264_smul_baugh_wooley_rows_hcla4_abc_g_aig,1,534,26,13884,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex264/aigs/ex264_smul_baugh_wooley_rows_hcla4_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_rows_hcla4; flow=abc_g_aig
ex264,ex264_smul_baugh_wooley_rows_hcla4_wreduce_abc_g_aig,1,532,26,13832,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex264/aigs/ex264_smul_baugh_wooley_rows_hcla4_wreduce_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_rows_hcla4; flow=wreduce_abc_g_aig
ex264,ex264_smul_baugh_wooley_rows_hcla4_synth_preset_d13,1,520,28,14560,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex264/aigs/ex264_smul_baugh_wooley_rows_hcla4_synth_preset_d13.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_rows_hcla4; flow=synth_preset_d13
ex264,ex264_smul_baugh_wooley_rows_hcla4_synth_preset_d18,1,520,28,14560,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex264/aigs/ex264_smul_baugh_wooley_rows_hcla4_synth_preset_d18.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_rows_hcla4; flow=synth_preset_d18
ex264,ex264_smul_baugh_wooley_wallace_hcla4_abc_g_aig,1,488,28,13664,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex264/aigs/ex264_smul_baugh_wooley_wallace_hcla4_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig,1,489,28,13692,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex264/aigs/ex264_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_hcla4; flow=wreduce_abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_hcla4_synth_preset_d13,1,489,27,13203,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex264/aigs/ex264_smul_baugh_wooley_wallace_hcla4_synth_preset_d13.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d13
ex264,ex264_smul_baugh_wooley_wallace_hcla4_synth_preset_d18,1,489,27,13203,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex264/aigs/ex264_smul_baugh_wooley_wallace_hcla4_synth_preset_d18.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d18
ex264,ex264_smul_baugh_wooley_wallace_rev_abc_g_aig,1,492,30,14760,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex264/aigs/ex264_smul_baugh_wooley_wallace_rev_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_rev; flow=abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_rev_wreduce_abc_g_aig,1,492,30,14760,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex264/aigs/ex264_smul_baugh_wooley_wallace_rev_wreduce_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_rev; flow=wreduce_abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_rev_synth_preset_d13,1,480,32,15360,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex264/aigs/ex264_smul_baugh_wooley_wallace_rev_synth_preset_d13.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_rev; flow=synth_preset_d13
ex264,ex264_smul_baugh_wooley_wallace_rev_synth_preset_d18,1,480,32,15360,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex264/aigs/ex264_smul_baugh_wooley_wallace_rev_synth_preset_d18.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_rev; flow=synth_preset_d18
