case,variant,matches,total_rows,match_ratio,bit_mismatches,total_bits,bit_match_ratio,notes
ex288,comb_step_-16_rd0_ro0,23,32768,0.000702,229224,491520,0.533643,diagnostic-only semantic model
ex288,comb_step_-16_rd0_ro1,23,32768,0.000702,230710,491520,0.530619,diagnostic-only semantic model
ex288,comb_step_32_rd1_ro0,22,32768,0.000671,228310,491520,0.535502,diagnostic-only semantic model
ex288,comb_step_-4_rd0_ro0,22,32768,0.000671,228438,491520,0.535242,diagnostic-only semantic model
ex288,comb_step_-32_rd0_ro0,22,32768,0.000671,229944,491520,0.532178,diagnostic-only semantic model
ex288,comb_step_8_rd1_ro1,21,32768,0.000641,227044,491520,0.538078,diagnostic-only semantic model
ex288,comb_step_16_rd1_ro0,21,32768,0.000641,227580,491520,0.536987,diagnostic-only semantic model
ex288,comb_step_32_rd1_ro1,21,32768,0.000641,227768,491520,0.536605,diagnostic-only semantic model
ex288,comb_step_5_rd0_ro1,21,32768,0.000641,227872,491520,0.536393,diagnostic-only semantic model
ex288,rotl_5,21,32768,0.000641,229268,491520,0.533553,diagnostic-only semantic model
ex288,comb_step_32_rd0_ro1,21,32768,0.000641,229856,491520,0.532357,diagnostic-only semantic model
ex288,comb_step_-5_rd0_ro1,20,32768,0.000610,228428,491520,0.535262,diagnostic-only semantic model
ex288,comb_step_-7_rd0_ro0,19,32768,0.000580,229450,491520,0.533183,diagnostic-only semantic model
ex288,comb_step_32_rd0_ro0,19,32768,0.000580,232048,491520,0.527897,diagnostic-only semantic model
ex288,comb_step_-2_rd1_ro0,18,32768,0.000549,226770,491520,0.538635,diagnostic-only semantic model
ex288,comb_step_-16_rd1_ro0,17,32768,0.000519,226180,491520,0.539836,diagnostic-only semantic model
ex288,comb_step_7_rd0_ro1,17,32768,0.000519,229756,491520,0.532560,diagnostic-only semantic model
ex288,comb_step_-32_rd1_ro1,16,32768,0.000488,226938,491520,0.538293,diagnostic-only semantic model
ex288,comb_step_3_rd1_ro0,16,32768,0.000488,227008,491520,0.538151,diagnostic-only semantic model
ex288,comb_step_-32_rd0_ro1,15,32768,0.000458,231756,491520,0.528491,diagnostic-only semantic model
ex288,comb_step_16_rd0_ro1,14,32768,0.000427,229438,491520,0.533207,diagnostic-only semantic model
ex288,comb_step_5_rd1_ro0,13,32768,0.000397,226954,491520,0.538261,diagnostic-only semantic model
ex288,comb_step_16_rd0_ro0,11,32768,0.000336,230938,491520,0.530155,diagnostic-only semantic model
ex288,mul_5,4,32768,0.000122,241000,491520,0.509684,diagnostic-only semantic model
ex288,mul_3,3,32768,0.000092,239254,491520,0.513236,diagnostic-only semantic model
ex288,mul_9,3,32768,0.000092,241560,491520,0.508545,diagnostic-only semantic model
ex288,rev_mul_15,3,32768,0.000092,246094,491520,0.499320,diagnostic-only semantic model
ex288,rev_mul_5,2,32768,0.000061,239310,491520,0.513123,diagnostic-only semantic model
ex288,rev_mul_3,2,32768,0.000061,239776,491520,0.512174,diagnostic-only semantic model
ex288,mul_7,2,32768,0.000061,243116,491520,0.505379,diagnostic-only semantic model
ex288,rev_mul_7,2,32768,0.000061,243210,491520,0.505188,diagnostic-only semantic model
ex288,mul_32766,2,32768,0.000061,258146,491520,0.474801,diagnostic-only semantic model
ex288,rev_mul_9,1,32768,0.000031,239844,491520,0.512036,diagnostic-only semantic model
ex288,mul_15,1,32768,0.000031,245196,491520,0.501147,diagnostic-only semantic model
ex288,rev_mul_32766,1,32768,0.000031,256482,491520,0.478186,diagnostic-only semantic model
ex289,interval_superpose_or,368,65536,0.005615,492691,1048576,0.530133,diagnostic-only semantic model
ex289,interval_superpose_xor,368,65536,0.005615,495796,1048576,0.527172,diagnostic-only semantic model
ex289,mul_1,162,65536,0.002472,491776,1048576,0.531006,diagnostic-only semantic model
ex289,rev_mul_1,162,65536,0.002472,491776,1048576,0.531006,diagnostic-only semantic model
ex289,rotl_1,127,65536,0.001938,493084,1048576,0.529758,diagnostic-only semantic model
ex289,comb_step_-1_rd0_ro1,125,65536,0.001907,492118,1048576,0.530680,diagnostic-only semantic model
ex289,comb_step_1_rd0_ro0,125,65536,0.001907,492118,1048576,0.530680,diagnostic-only semantic model
ex289,rotl_7,124,65536,0.001892,490152,1048576,0.532555,diagnostic-only semantic model
ex289,rotl_4,110,65536,0.001678,492712,1048576,0.530113,diagnostic-only semantic model
ex289,comb_step_-1_rd1_ro0,89,65536,0.001358,492340,1048576,0.530468,diagnostic-only semantic model
ex289,comb_step_1_rd1_ro1,89,65536,0.001358,492340,1048576,0.530468,diagnostic-only semantic model
ex289,comb_step_-1_rd1_ro1,68,65536,0.001038,493362,1048576,0.529493,diagnostic-only semantic model
ex289,comb_step_1_rd1_ro0,68,65536,0.001038,493362,1048576,0.529493,diagnostic-only semantic model
ex289,comb_step_-3_rd0_ro0,62,65536,0.000946,490196,1048576,0.532513,diagnostic-only semantic model
ex289,comb_step_3_rd0_ro1,62,65536,0.000946,490196,1048576,0.532513,diagnostic-only semantic model
ex289,comb_step_-2_rd0_ro0,62,65536,0.000946,491178,1048576,0.531576,diagnostic-only semantic model
ex289,comb_step_2_rd0_ro1,62,65536,0.000946,491178,1048576,0.531576,diagnostic-only semantic model
ex289,comb_step_-1_rd0_ro0,62,65536,0.000946,492024,1048576,0.530769,diagnostic-only semantic model
ex289,comb_step_1_rd0_ro1,62,65536,0.000946,492024,1048576,0.530769,diagnostic-only semantic model
ex289,comb_step_-7_rd0_ro1,61,65536,0.000931,492118,1048576,0.530680,diagnostic-only semantic model
ex289,comb_step_7_rd0_ro0,61,65536,0.000931,492118,1048576,0.530680,diagnostic-only semantic model
ex289,rotl_6,57,65536,0.000870,491296,1048576,0.531464,diagnostic-only semantic model
ex289,comb_step_-3_rd1_ro0,57,65536,0.000870,491490,1048576,0.531279,diagnostic-only semantic model
ex289,comb_step_3_rd1_ro1,57,65536,0.000870,491490,1048576,0.531279,diagnostic-only semantic model
ex289,comb_step_-2_rd1_ro1,57,65536,0.000870,492310,1048576,0.530497,diagnostic-only semantic model
ex289,comb_step_2_rd1_ro0,57,65536,0.000870,492310,1048576,0.530497,diagnostic-only semantic model
ex289,comb_step_-6_rd1_ro1,56,65536,0.000854,492320,1048576,0.530487,diagnostic-only semantic model
ex289,comb_step_6_rd1_ro0,56,65536,0.000854,492320,1048576,0.530487,diagnostic-only semantic model
ex289,rotl_2,55,65536,0.000839,492360,1048576,0.530449,diagnostic-only semantic model
ex289,comb_step_-5_rd0_ro0,53,65536,0.000809,490218,1048576,0.532492,diagnostic-only semantic model
ex289,comb_step_5_rd0_ro1,53,65536,0.000809,490218,1048576,0.532492,diagnostic-only semantic model
ex289,comb_step_-4_rd0_ro1,53,65536,0.000809,490870,1048576,0.531870,diagnostic-only semantic model
ex289,comb_step_4_rd0_ro0,53,65536,0.000809,490870,1048576,0.531870,diagnostic-only semantic model
ex289,comb_step_-6_rd0_ro1,52,65536,0.000793,492222,1048576,0.530581,diagnostic-only semantic model
ex289,comb_step_6_rd0_ro0,52,65536,0.000793,492222,1048576,0.530581,diagnostic-only semantic model
ex289,comb_step_-7_rd0_ro0,48,65536,0.000732,490298,1048576,0.532415,diagnostic-only semantic model
ex289,comb_step_7_rd0_ro1,48,65536,0.000732,490298,1048576,0.532415,diagnostic-only semantic model
ex289,comb_step_-7_rd1_ro0,48,65536,0.000732,490902,1048576,0.531839,diagnostic-only semantic model
ex289,comb_step_7_rd1_ro1,48,65536,0.000732,490902,1048576,0.531839,diagnostic-only semantic model
ex289,comb_step_-4_rd1_ro1,43,65536,0.000656,492226,1048576,0.530577,diagnostic-only semantic model
ex289,comb_step_4_rd1_ro0,43,65536,0.000656,492226,1048576,0.530577,diagnostic-only semantic model
ex289,comb_step_-8_rd1_ro1,43,65536,0.000656,492324,1048576,0.530483,diagnostic-only semantic model
ex289,comb_step_8_rd1_ro0,43,65536,0.000656,492324,1048576,0.530483,diagnostic-only semantic model
ex289,rotl_3,43,65536,0.000656,493232,1048576,0.529617,diagnostic-only semantic model
ex289,rotl_5,42,65536,0.000641,491964,1048576,0.530827,diagnostic-only semantic model
ex289,comb_step_-2_rd0_ro1,40,65536,0.000610,490696,1048576,0.532036,diagnostic-only semantic model
ex289,comb_step_2_rd0_ro0,40,65536,0.000610,490696,1048576,0.532036,diagnostic-only semantic model
ex289,comb_step_-6_rd0_ro0,38,65536,0.000580,490764,1048576,0.531971,diagnostic-only semantic model
ex289,comb_step_6_rd0_ro1,38,65536,0.000580,490764,1048576,0.531971,diagnostic-only semantic model
ex289,comb_step_16_rd1_ro1,37,65536,0.000565,491242,1048576,0.531515,diagnostic-only semantic model
ex289,comb_step_-16_rd1_ro0,37,65536,0.000565,491242,1048576,0.531515,diagnostic-only semantic model
ex289,comb_step_-5_rd0_ro1,36,65536,0.000549,491600,1048576,0.531174,diagnostic-only semantic model
ex289,comb_step_5_rd0_ro0,36,65536,0.000549,491600,1048576,0.531174,diagnostic-only semantic model
ex289,comb_step_-5_rd1_ro1,35,65536,0.000534,492340,1048576,0.530468,diagnostic-only semantic model
ex289,comb_step_5_rd1_ro0,35,65536,0.000534,492340,1048576,0.530468,diagnostic-only semantic model
ex289,comb_step_16_rd0_ro1,34,65536,0.000519,489646,1048576,0.533037,diagnostic-only semantic model
ex289,comb_step_-16_rd0_ro0,34,65536,0.000519,489646,1048576,0.533037,diagnostic-only semantic model
ex289,comb_step_16_rd0_ro0,34,65536,0.000519,492260,1048576,0.530544,diagnostic-only semantic model
ex289,comb_step_-16_rd0_ro1,34,65536,0.000519,492260,1048576,0.530544,diagnostic-only semantic model
ex289,comb_step_-8_rd0_ro1,33,65536,0.000504,492206,1048576,0.530596,diagnostic-only semantic model
ex289,comb_step_8_rd0_ro0,33,65536,0.000504,492206,1048576,0.530596,diagnostic-only semantic model
ex289,comb_step_-7_rd1_ro1,32,65536,0.000488,492080,1048576,0.530716,diagnostic-only semantic model
ex289,comb_step_7_rd1_ro0,32,65536,0.000488,492080,1048576,0.530716,diagnostic-only semantic model
ex289,comb_step_32_rd0_ro0,31,65536,0.000473,492196,1048576,0.530605,diagnostic-only semantic model
ex289,comb_step_-32_rd0_ro1,31,65536,0.000473,492196,1048576,0.530605,diagnostic-only semantic model
ex289,comb_step_-5_rd1_ro0,29,65536,0.000443,491130,1048576,0.531622,diagnostic-only semantic model
ex289,comb_step_5_rd1_ro1,29,65536,0.000443,491130,1048576,0.531622,diagnostic-only semantic model
ex289,comb_step_-6_rd1_ro0,29,65536,0.000443,491472,1048576,0.531296,diagnostic-only semantic model
ex289,comb_step_6_rd1_ro1,29,65536,0.000443,491472,1048576,0.531296,diagnostic-only semantic model
ex289,comb_step_-2_rd1_ro0,29,65536,0.000443,492038,1048576,0.530756,diagnostic-only semantic model
ex289,comb_step_2_rd1_ro1,29,65536,0.000443,492038,1048576,0.530756,diagnostic-only semantic model
ex289,comb_step_32_rd1_ro0,28,65536,0.000427,493180,1048576,0.529667,diagnostic-only semantic model
ex289,comb_step_-32_rd1_ro1,28,65536,0.000427,493180,1048576,0.529667,diagnostic-only semantic model
ex289,comb_step_-8_rd0_ro0,27,65536,0.000412,490088,1048576,0.532616,diagnostic-only semantic model
ex289,comb_step_8_rd0_ro1,27,65536,0.000412,490088,1048576,0.532616,diagnostic-only semantic model
ex289,comb_step_-4_rd0_ro0,26,65536,0.000397,489454,1048576,0.533220,diagnostic-only semantic model
ex289,comb_step_4_rd0_ro1,26,65536,0.000397,489454,1048576,0.533220,diagnostic-only semantic model
ex289,comb_step_32_rd1_ro1,26,65536,0.000397,490954,1048576,0.531790,diagnostic-only semantic model
ex289,comb_step_-32_rd1_ro0,26,65536,0.000397,490954,1048576,0.531790,diagnostic-only semantic model
ex289,comb_step_-3_rd0_ro1,25,65536,0.000381,490954,1048576,0.531790,diagnostic-only semantic model
ex289,comb_step_3_rd0_ro0,25,65536,0.000381,490954,1048576,0.531790,diagnostic-only semantic model
ex289,comb_step_16_rd1_ro0,24,65536,0.000366,492778,1048576,0.530050,diagnostic-only semantic model
ex289,comb_step_-16_rd1_ro1,24,65536,0.000366,492778,1048576,0.530050,diagnostic-only semantic model
ex289,comb_step_32_rd0_ro1,20,65536,0.000305,488916,1048576,0.533733,diagnostic-only semantic model
ex289,comb_step_-32_rd0_ro0,20,65536,0.000305,488916,1048576,0.533733,diagnostic-only semantic model
ex289,comb_step_-4_rd1_ro0,19,65536,0.000290,491464,1048576,0.531303,diagnostic-only semantic model
ex289,comb_step_4_rd1_ro1,19,65536,0.000290,491464,1048576,0.531303,diagnostic-only semantic model
ex289,comb_step_-3_rd1_ro1,13,65536,0.000198,492366,1048576,0.530443,diagnostic-only semantic model
ex289,comb_step_3_rd1_ro0,13,65536,0.000198,492366,1048576,0.530443,diagnostic-only semantic model
ex289,mul_3,8,65536,0.000122,513082,1048576,0.510687,diagnostic-only semantic model
ex289,comb_step_-8_rd1_ro0,7,65536,0.000107,491530,1048576,0.531240,diagnostic-only semantic model
ex289,comb_step_8_rd1_ro1,7,65536,0.000107,491530,1048576,0.531240,diagnostic-only semantic model
ex289,rev_mul_3,4,65536,0.000061,512086,1048576,0.511637,diagnostic-only semantic model
ex289,mul_5,4,65536,0.000061,514242,1048576,0.509581,diagnostic-only semantic model
ex289,mul_65534,3,65536,0.000046,545992,1048576,0.479301,diagnostic-only semantic model
ex289,mul_9,2,65536,0.000031,515184,1048576,0.508682,diagnostic-only semantic model
ex289,rev_mul_15,2,65536,0.000031,524344,1048576,0.499947,diagnostic-only semantic model
ex289,rev_mul_5,1,65536,0.000015,515556,1048576,0.508327,diagnostic-only semantic model
ex289,rev_mul_9,1,65536,0.000015,515830,1048576,0.508066,diagnostic-only semantic model
ex289,mul_7,1,65536,0.000015,519900,1048576,0.504185,diagnostic-only semantic model
ex289,rev_mul_7,1,65536,0.000015,520242,1048576,0.503859,diagnostic-only semantic model
ex289,mul_15,1,65536,0.000015,523268,1048576,0.500973,diagnostic-only semantic model
ex289,rev_mul_65534,1,65536,0.000015,548340,1048576,0.477062,diagnostic-only semantic model
