case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex257,ex257_umul_balanced_rows_abc_g_aig,unsigned low6_high6:a*b,balanced_rows+abc_g_aig,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/verilog/ex257_umul_balanced_rows.v,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/aigs/ex257_umul_balanced_rows_abc_g_aig.aig,1,1,1,222,29,6438,3952,1.629049,0,0,0.284,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=balanced_rows; flow=abc_g_aig
ex257,ex257_umul_balanced_rows_synth_preset,unsigned low6_high6:a*b,balanced_rows+synth_preset,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/verilog/ex257_umul_balanced_rows.v,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/aigs/ex257_umul_balanced_rows_synth_preset.aig,1,1,1,229,27,6183,3952,1.564524,0,0,0.313,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=balanced_rows; flow=synth_preset
ex257,ex257_umul_csa_vector_default,unsigned low6_high6:a*b,csa_vector+default,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/verilog/ex257_umul_csa_vector.v,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/aigs/ex257_umul_csa_vector_default.aig,1,1,1,316,25,7900,3952,1.998988,0,0,0.276,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=csa_vector; flow=default
ex257,ex257_umul_csa_vector_abc_g_aig,unsigned low6_high6:a*b,csa_vector+abc_g_aig,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/verilog/ex257_umul_csa_vector.v,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/aigs/ex257_umul_csa_vector_abc_g_aig.aig,1,1,1,241,25,6025,3952,1.524545,0,0,0.273,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=csa_vector; flow=abc_g_aig
ex257,ex257_umul_csa_vector_synth_preset,unsigned low6_high6:a*b,csa_vector+synth_preset,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/verilog/ex257_umul_csa_vector.v,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/aigs/ex257_umul_csa_vector_synth_preset.aig,1,1,1,238,24,5712,3952,1.445344,1,0,0.327,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=csa_vector; flow=synth_preset
ex257,ex257_umul_column_carry_default,unsigned low6_high6:a*b,column_carry+default,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/verilog/ex257_umul_column_carry.v,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/aigs/ex257_umul_column_carry_default.aig,1,1,1,260,83,21580,3952,5.460526,0,0,0.342,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=column_carry; flow=default
ex257,ex257_umul_column_carry_abc_g_aig,unsigned low6_high6:a*b,column_carry+abc_g_aig,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/verilog/ex257_umul_column_carry.v,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/aigs/ex257_umul_column_carry_abc_g_aig.aig,1,1,1,251,83,20833,3952,5.271508,0,0,0.346,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=column_carry; flow=abc_g_aig
ex257,ex257_umul_column_carry_synth_preset,unsigned low6_high6:a*b,column_carry+synth_preset,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/verilog/ex257_umul_column_carry.v,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/aigs/ex257_umul_column_carry_synth_preset.aig,1,1,1,226,83,18758,3952,4.746457,0,0,0.370,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=column_carry; flow=synth_preset
ex257,ex257_umul_split_half_default,unsigned low6_high6:a*b,split_half+default,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/verilog/ex257_umul_split_half.v,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/aigs/ex257_umul_split_half_default.aig,1,1,1,235,27,6345,3952,1.605516,0,0,0.258,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=split_half; flow=default
ex257,ex257_umul_split_half_abc_g_aig,unsigned low6_high6:a*b,split_half+abc_g_aig,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/verilog/ex257_umul_split_half.v,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/aigs/ex257_umul_split_half_abc_g_aig.aig,1,1,1,235,27,6345,3952,1.605516,0,0,0.261,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=split_half; flow=abc_g_aig
ex257,ex257_umul_split_half_synth_preset,unsigned low6_high6:a*b,split_half+synth_preset,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/verilog/ex257_umul_split_half.v,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/aigs/ex257_umul_split_half_synth_preset.aig,1,1,1,254,27,6858,3952,1.735324,0,0,0.303,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=split_half; flow=synth_preset
ex257,ex257_umul_karatsuba_even_default,unsigned low6_high6:a*b,karatsuba_even+default,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/verilog/ex257_umul_karatsuba_even.v,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/aigs/ex257_umul_karatsuba_even_default.aig,1,1,1,337,39,13143,3952,3.325658,0,0,0.329,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=karatsuba_even; flow=default
ex257,ex257_umul_karatsuba_even_abc_g_aig,unsigned low6_high6:a*b,karatsuba_even+abc_g_aig,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/verilog/ex257_umul_karatsuba_even.v,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/aigs/ex257_umul_karatsuba_even_abc_g_aig.aig,1,1,1,332,39,12948,3952,3.276316,0,0,0.335,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=karatsuba_even; flow=abc_g_aig
ex257,ex257_umul_karatsuba_even_synth_preset,unsigned low6_high6:a*b,karatsuba_even+synth_preset,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/verilog/ex257_umul_karatsuba_even.v,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/aigs/ex257_umul_karatsuba_even_synth_preset.aig,1,1,1,325,37,12025,3952,3.042763,0,0,0.364,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=karatsuba_even; flow=synth_preset
ex257,ex257_umul_sorted_operands_default,unsigned low6_high6:a*b,sorted_operands+default,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/verilog/ex257_umul_sorted_operands.v,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/aigs/ex257_umul_sorted_operands_default.aig,1,1,1,295,37,10915,3952,2.761893,0,0,0.296,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=sorted_operands; flow=default
ex257,ex257_umul_sorted_operands_abc_g_aig,unsigned low6_high6:a*b,sorted_operands+abc_g_aig,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/verilog/ex257_umul_sorted_operands.v,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/aigs/ex257_umul_sorted_operands_abc_g_aig.aig,1,1,1,295,37,10915,3952,2.761893,0,0,0.295,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=sorted_operands; flow=abc_g_aig
ex257,ex257_umul_sorted_operands_synth_preset,unsigned low6_high6:a*b,sorted_operands+synth_preset,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/verilog/ex257_umul_sorted_operands.v,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/aigs/ex257_umul_sorted_operands_synth_preset.aig,1,1,1,293,37,10841,3952,2.743168,0,0,0.367,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=sorted_operands; flow=synth_preset
