case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex266,ex266_udiv_bdd_b_lsb_a_msb_abc_g_aig_d24,1,213,12,2556,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_b_lsb_a_msb_abc_g_aig_d24.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_b_lsb_a_msb; flow=abc_g_aig_d24
ex267,ex267_udiv_bdd_b_msb_abc_g_aig,1,481,15,7215,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex267/aigs/ex267_udiv_bdd_b_msb_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_b_msb; flow=abc_g_aig
ex267,ex267_udiv_bdd_b_msb_synth_preset,1,417,16,6672,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex267/aigs/ex267_udiv_bdd_b_msb_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_b_msb; flow=synth_preset
ex267,ex267_udiv_bdd_b_msb_abc_g_aig_d18,1,481,15,7215,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex267/aigs/ex267_udiv_bdd_b_msb_abc_g_aig_d18.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_b_msb; flow=abc_g_aig_d18
ex267,ex267_udiv_bdd_b_msb_abc_g_aig_d24,1,481,15,7215,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex267/aigs/ex267_udiv_bdd_b_msb_abc_g_aig_d24.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_b_msb; flow=abc_g_aig_d24
ex267,ex267_udiv_bdd_b_msb_a_lsb_abc_g_aig,1,473,18,8514,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex267/aigs/ex267_udiv_bdd_b_msb_a_lsb_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_b_msb_a_lsb; flow=abc_g_aig
ex267,ex267_udiv_bdd_b_msb_a_lsb_synth_preset,1,423,18,7614,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex267/aigs/ex267_udiv_bdd_b_msb_a_lsb_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_b_msb_a_lsb; flow=synth_preset
ex267,ex267_udiv_bdd_b_msb_a_lsb_abc_g_aig_d18,1,473,18,8514,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex267/aigs/ex267_udiv_bdd_b_msb_a_lsb_abc_g_aig_d18.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_b_msb_a_lsb; flow=abc_g_aig_d18
ex267,ex267_udiv_bdd_b_msb_a_lsb_abc_g_aig_d24,1,473,18,8514,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex267/aigs/ex267_udiv_bdd_b_msb_a_lsb_abc_g_aig_d24.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_b_msb_a_lsb; flow=abc_g_aig_d24
ex267,ex267_udiv_bdd_interleave_msb_abc_g_aig,1,345,16,5520,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex267/aigs/ex267_udiv_bdd_interleave_msb_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_interleave_msb; flow=abc_g_aig
ex267,ex267_udiv_bdd_interleave_msb_synth_preset,1,333,16,5328,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex267/aigs/ex267_udiv_bdd_interleave_msb_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_interleave_msb; flow=synth_preset
ex267,ex267_udiv_bdd_interleave_msb_abc_g_aig_d18,1,345,16,5520,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex267/aigs/ex267_udiv_bdd_interleave_msb_abc_g_aig_d18.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_interleave_msb; flow=abc_g_aig_d18
ex267,ex267_udiv_bdd_interleave_msb_abc_g_aig_d24,1,345,16,5520,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex267/aigs/ex267_udiv_bdd_interleave_msb_abc_g_aig_d24.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_interleave_msb; flow=abc_g_aig_d24
ex267,ex267_udiv_bdd_interleave_lsb_abc_g_aig,1,628,21,13188,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex267/aigs/ex267_udiv_bdd_interleave_lsb_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_interleave_lsb; flow=abc_g_aig
ex267,ex267_udiv_bdd_interleave_lsb_synth_preset,1,601,20,12020,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex267/aigs/ex267_udiv_bdd_interleave_lsb_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_interleave_lsb; flow=synth_preset
ex267,ex267_udiv_bdd_interleave_lsb_abc_g_aig_d18,1,628,21,13188,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex267/aigs/ex267_udiv_bdd_interleave_lsb_abc_g_aig_d18.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_interleave_lsb; flow=abc_g_aig_d18
ex267,ex267_udiv_bdd_interleave_lsb_abc_g_aig_d24,1,628,21,13188,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex267/aigs/ex267_udiv_bdd_interleave_lsb_abc_g_aig_d24.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_interleave_lsb; flow=abc_g_aig_d24
ex267,ex267_udiv_bdd_interleave_a_first_msb_abc_g_aig,1,388,17,6596,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex267/aigs/ex267_udiv_bdd_interleave_a_first_msb_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_interleave_a_first_msb; flow=abc_g_aig
ex267,ex267_udiv_bdd_interleave_a_first_msb_synth_preset,1,370,17,6290,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex267/aigs/ex267_udiv_bdd_interleave_a_first_msb_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_interleave_a_first_msb; flow=synth_preset
ex267,ex267_udiv_bdd_interleave_a_first_msb_abc_g_aig_d18,1,388,17,6596,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex267/aigs/ex267_udiv_bdd_interleave_a_first_msb_abc_g_aig_d18.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_interleave_a_first_msb; flow=abc_g_aig_d18
ex267,ex267_udiv_bdd_interleave_a_first_msb_abc_g_aig_d24,1,388,17,6596,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex267/aigs/ex267_udiv_bdd_interleave_a_first_msb_abc_g_aig_d24.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_interleave_a_first_msb; flow=abc_g_aig_d24
ex267,ex267_udiv_bdd_b_lsb_a_msb_abc_g_aig,1,518,15,7770,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex267/aigs/ex267_udiv_bdd_b_lsb_a_msb_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_b_lsb_a_msb; flow=abc_g_aig
ex267,ex267_udiv_bdd_b_lsb_a_msb_synth_preset,1,487,15,7305,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex267/aigs/ex267_udiv_bdd_b_lsb_a_msb_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_b_lsb_a_msb; flow=synth_preset
ex267,ex267_udiv_bdd_b_lsb_a_msb_abc_g_aig_d18,1,518,15,7770,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex267/aigs/ex267_udiv_bdd_b_lsb_a_msb_abc_g_aig_d18.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_b_lsb_a_msb; flow=abc_g_aig_d18
