case,input_width,split_bit,input_transform,output_transform,matches,total,exact,match_ratio,examples
ex289,16,2,reverse_comp_except_split,comp,0,16384,0,0.000000,x=0x0:p=0xdfff:pred=0xffff:exp=0xbfff;x=0x1:p=0x5fff:pred=0xbfff:exp=0xffaf;x=0x2:p=0x9fff:pred=0xdfff:exp=0xfaff
ex289,16,2,reverse_comp_except_split,reverse,0,16384,0,0.000000,x=0x0:p=0xdfff:pred=0x0:exp=0xbfff;x=0x1:p=0x5fff:pred=0x2:exp=0xffaf;x=0x2:p=0x9fff:pred=0x4:exp=0xfaff
ex289,16,2,reverse_comp_except_split,comp_reverse,0,16384,0,0.000000,x=0x0:p=0xdfff:pred=0xffff:exp=0xbfff;x=0x1:p=0x5fff:pred=0xfffd:exp=0xffaf;x=0x2:p=0x9fff:pred=0xfffb:exp=0xfaff
ex289,16,2,reverse_comp_except_split,pair_swap,0,16384,0,0.000000,x=0x0:p=0xdfff:pred=0x0:exp=0xbfff;x=0x1:p=0x5fff:pred=0x4000:exp=0xffaf;x=0x2:p=0x9fff:pred=0x2000:exp=0xfaff
ex289,16,2,reverse_comp_except_split,comp_pair_swap,0,16384,0,0.000000,x=0x0:p=0xdfff:pred=0xffff:exp=0xbfff;x=0x1:p=0x5fff:pred=0xbfff:exp=0xffaf;x=0x2:p=0x9fff:pred=0xdfff:exp=0xfaff
ex289,16,2,reverse,identity,264,16384,0,0.016113,x=0x2000:p=0x4:pred=0x2:exp=0x200;x=0x2001:p=0x8004:pred=0x1001:exp=0x2002;x=0x2002:p=0x4004:pred=0x8008:exp=0x2002
ex289,16,2,reverse,comp,240,16384,0,0.014648,x=0x2000:p=0x4:pred=0xfffd:exp=0x200;x=0x2001:p=0x8004:pred=0xeffe:exp=0x2002;x=0x2002:p=0x4004:pred=0x7ff7:exp=0x2002
ex289,16,2,reverse,reverse,312,16384,0,0.019043,x=0x2000:p=0x4:pred=0x4000:exp=0x200;x=0x2001:p=0x8004:pred=0x8008:exp=0x2002;x=0x2002:p=0x4004:pred=0x1001:exp=0x2002
ex289,16,2,reverse,comp_reverse,380,16384,0,0.023193,x=0x2000:p=0x4:pred=0xbfff:exp=0x200;x=0x2001:p=0x8004:pred=0x7ff7:exp=0x2002;x=0x2002:p=0x4004:pred=0xeffe:exp=0x2002
ex289,16,2,reverse,pair_swap,48,16384,0,0.002930,x=0x2000:p=0x4:pred=0x2:exp=0x200;x=0x2001:p=0x8004:pred=0x1001:exp=0x2002;x=0x2002:p=0x4004:pred=0x8008:exp=0x2002
