case,kind,name,bit,terms,support,degree_dist
ex282,residual,rev_out_xor_prefix5x,12,341,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:12;2:6;3:18;4:35;5:19;6:32;7:50;8:64;9:59;10:35;11:11
ex282,residual,rev_out_xor_prefix5x,13,440,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:13;2:4;3:10;4:17;5:19;6:32;7:52;8:76;9:89;10:75;11:41;12:12
ex282,residual,rev_out_xor_suffix5x,0,359,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:14;2:11;3:134;4:200
ex282,residual,rev_out_xor_suffix5x,1,466,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:12;2:8;3:61;4:385
ex282,residual,rev_out_xor_suffix5x,2,501,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:3;2:18;3:92;4:388
ex282,residual,rev_out_xor_suffix5x,3,715,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:10;2:22;3:104;4:579
ex282,residual,rev_out_xor_suffix5x,4,578,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:10;2:25;3:100;4:443
ex282,residual,rev_out_xor_suffix5x,5,467,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:10;2:17;3:87;4:353
ex282,residual,rev_out_xor_suffix5x,6,450,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:9;2:15;3:65;4:315;5:46
ex282,residual,rev_out_xor_suffix5x,7,403,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:9;2:13;3:60;4:224;5:49;6:48
ex282,residual,rev_out_xor_suffix5x,8,320,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:8;2:13;3:39;4:103;5:40;6:67;7:50
ex282,residual,rev_out_xor_suffix5x,9,357,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:6;2:10;3:52;4:71;5:28;6:63;7:79;8:48
ex282,residual,rev_out_xor_suffix5x,10,484,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:5;2:10;3:46;4:139;5:22;6:49;7:83;8:84;9:46
ex282,residual,rev_out_xor_suffix5x,11,417,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:4;2:8;3:30;4:73;5:17;6:27;7:53;8:84;9:81;10:40
ex282,residual,rev_out_xor_suffix5x,12,460,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:3;2:6;3:18;4:35;5:18;6:28;7:49;8:84;9:104;10:81;11:34
ex282,residual,rev_out_xor_suffix5x,13,555,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:2;2:4;3:10;4:17;5:19;6:32;7:54;8:88;9:119;10:115;11:71;12:24
ex283,output,raw,0,11,0:1:2:3:12:14,2:1;3:4;4:6
ex283,output,raw,1,39,0:1:2:3:4:11:13:14,2:3;3:12;4:24
ex283,output,raw,2,91,0:1:2:3:4:5:10:12:13:14,2:5;3:24;4:62
ex283,output,raw,3,175,0:1:2:3:4:5:6:9:11:12:13:14,2:7;3:40;4:128
ex283,output,raw,4,299,0:1:2:3:4:5:6:7:8:10:11:12:13:14,2:9;3:60;4:230
ex283,output,raw,5,405,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,2:5;3:66;4:334
ex283,output,raw,6,391,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:1;2:12;3:56;4:322
ex283,output,raw,7,457,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:2;2:14;3:62;4:379
ex283,output,raw,8,521,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:2;2:16;3:72;4:431
ex283,output,raw,9,605,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:2;2:18;3:86;4:499
ex283,output,raw,10,733,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:2;2:20;3:104;4:607
ex283,output,raw,11,929,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:2;2:22;3:126;4:779
ex283,output,raw,12,639,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:1;2:19;3:110;4:509
ex283,output,raw,13,587,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:1;2:8;3:72;4:506
ex283,output,raw,14,411,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,2:12;3:157;4:242
ex283,output,reverse_output,0,411,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,2:12;3:157;4:242
ex283,output,reverse_output,1,587,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:1;2:8;3:72;4:506
ex283,output,reverse_output,2,639,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:1;2:19;3:110;4:509
ex283,output,reverse_output,3,929,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:2;2:22;3:126;4:779
ex283,output,reverse_output,4,733,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:2;2:20;3:104;4:607
ex283,output,reverse_output,5,605,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:2;2:18;3:86;4:499
ex283,output,reverse_output,6,521,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:2;2:16;3:72;4:431
ex283,output,reverse_output,7,457,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:2;2:14;3:62;4:379
ex283,output,reverse_output,8,391,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:1;2:12;3:56;4:322
ex283,output,reverse_output,9,405,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,2:5;3:66;4:334
ex283,output,reverse_output,10,299,0:1:2:3:4:5:6:7:8:10:11:12:13:14,2:9;3:60;4:230
ex283,output,reverse_output,11,175,0:1:2:3:4:5:6:9:11:12:13:14,2:7;3:40;4:128
ex283,output,reverse_output,12,91,0:1:2:3:4:5:10:12:13:14,2:5;3:24;4:62
ex283,output,reverse_output,13,39,0:1:2:3:4:11:13:14,2:3;3:12;4:24
ex283,output,reverse_output,14,11,0:1:2:3:12:14,2:1;3:4;4:6
ex283,residual,rev_out_xor_5x,0,412,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:1;2:12;3:157;4:242
ex283,residual,rev_out_xor_5x,1,586,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,2:8;3:72;4:506
ex283,residual,rev_out_xor_5x,2,639,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:1;2:19;3:110;4:509
ex283,residual,rev_out_xor_5x,3,928,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,2:23;3:126;4:779
ex283,residual,rev_out_xor_5x,4,734,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,2:21;3:106;4:607
ex283,residual,rev_out_xor_5x,5,604,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,2:19;3:86;4:499
ex283,residual,rev_out_xor_5x,6,524,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,2:17;3:71;4:433;5:3
ex283,residual,rev_out_xor_5x,7,468,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,2:15;3:61;4:382;5:7;6:3
ex283,residual,rev_out_xor_5x,8,412,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:1;2:13;3:57;4:319;5:9;6:9;7:4
ex283,residual,rev_out_xor_5x,9,442,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:2;2:6;3:61;4:327;5:11;6:17;7:14;8:4
ex283,residual,rev_out_xor_5x,10,394,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:2;2:10;3:61;4:235;5:12;6:23;7:28;8:18;9:5
ex283,residual,rev_out_xor_5x,11,316,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:2;2:8;3:45;4:135;5:12;6:24;7:34;8:32;9:19;10:5
ex283,residual,rev_out_xor_5x,12,288,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:2;2:6;3:29;4:69;5:12;6:24;7:36;8:42;9:39;10:23;11:6
ex283,residual,rev_out_xor_5x,13,348,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:2;2:4;3:17;4:31;5:12;6:24;7:38;8:54;9:69;10:61;11:30;12:6
ex283,residual,rev_out_xor_5x,14,496,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:2;2:2;3:9;4:13;5:12;6:24;7:39;8:62;9:96;10:111;11:83;12:36;13:7
ex283,residual,rev_out_xor_clmul5x,0,412,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:1;2:12;3:157;4:242
ex283,residual,rev_out_xor_clmul5x,1,586,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,2:8;3:72;4:506
ex283,residual,rev_out_xor_clmul5x,2,639,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:1;2:19;3:110;4:509
ex283,residual,rev_out_xor_clmul5x,3,927,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,2:22;3:126;4:779
ex283,residual,rev_out_xor_clmul5x,4,731,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,2:20;3:104;4:607
ex283,residual,rev_out_xor_clmul5x,5,603,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,2:18;3:86;4:499
ex283,residual,rev_out_xor_clmul5x,6,519,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,2:16;3:72;4:431
ex283,residual,rev_out_xor_clmul5x,7,455,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,2:14;3:62;4:379
ex283,residual,rev_out_xor_clmul5x,8,391,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:1;2:12;3:56;4:322
ex283,residual,rev_out_xor_clmul5x,9,407,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:2;2:5;3:66;4:334
ex283,residual,rev_out_xor_clmul5x,10,301,0:1:2:3:4:5:6:7:8:10:11:12:13:14,1:2;2:9;3:60;4:230
ex283,residual,rev_out_xor_clmul5x,11,177,0:1:2:3:4:5:6:9:11:12:13:14,1:2;2:7;3:40;4:128
ex283,residual,rev_out_xor_clmul5x,12,93,0:1:2:3:4:5:10:12:13:14,1:2;2:5;3:24;4:62
ex283,residual,rev_out_xor_clmul5x,13,41,0:1:2:3:4:11:13:14,1:2;2:3;3:12;4:24
ex283,residual,rev_out_xor_clmul5x,14,13,0:1:2:3:12:14,1:2;2:1;3:4;4:6
ex283,residual,rev_out_xor_prefix5x,0,412,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:1;2:12;3:157;4:242
ex283,residual,rev_out_xor_prefix5x,1,587,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:1;2:8;3:72;4:506
ex283,residual,rev_out_xor_prefix5x,2,639,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:1;2:19;3:110;4:509
ex283,residual,rev_out_xor_prefix5x,3,930,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:3;2:22;3:126;4:779
ex283,residual,rev_out_xor_prefix5x,4,737,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:4;2:19;3:107;4:607
ex283,residual,rev_out_xor_prefix5x,5,606,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:5;2:17;3:87;4:497
ex283,residual,rev_out_xor_prefix5x,6,525,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:6;2:15;3:72;4:427;5:5
ex283,residual,rev_out_xor_prefix5x,7,472,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:7;2:13;3:60;4:375;5:11;6:6
ex283,residual,rev_out_xor_prefix5x,8,427,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:9;2:11;3:52;4:317;5:16;6:15;7:7
ex283,residual,rev_out_xor_prefix5x,9,468,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:9;2:8;3:60;4:323;5:18;6:23;7:19;8:8
ex283,residual,rev_out_xor_prefix5x,10,433,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:10;2:12;3:62;4:235;5:19;6:29;7:33;8:24;9:9
ex283,residual,rev_out_xor_prefix5x,11,382,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:11;2:10;3:46;4:139;5:19;6:31;7:43;8:44;9:29;10:10
ex283,residual,rev_out_xor_prefix5x,12,393,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:12;2:8;3:30;4:73;5:19;6:32;7:50;8:64;9:59;10:35;11:11
ex283,residual,rev_out_xor_prefix5x,13,468,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:13;2:6;3:18;4:35;5:19;6:32;7:52;8:76;9:89;10:75;11:41;12:12
ex283,residual,rev_out_xor_prefix5x,14,631,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:14;2:4;3:10;4:17;5:19;6:32;7:53;8:84;9:116;10:125;11:96;12:48;13:13
ex283,residual,rev_out_xor_suffix5x,0,426,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:15;2:12;3:157;4:242
ex283,residual,rev_out_xor_suffix5x,1,599,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:13;2:8;3:72;4:506
ex283,residual,rev_out_xor_suffix5x,2,641,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:3;2:19;3:110;4:509
ex283,residual,rev_out_xor_suffix5x,3,940,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:11;2:24;3:126;4:779
ex283,residual,rev_out_xor_suffix5x,4,765,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:11;2:28;3:119;4:607
ex283,residual,rev_out_xor_suffix5x,5,620,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:11;2:19;3:103;4:487
ex283,residual,rev_out_xor_suffix5x,6,585,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:10;2:17;3:76;4:431;5:51
ex283,residual,rev_out_xor_suffix5x,7,576,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:9;2:15;3:62;4:381;5:55;6:54
ex283,residual,rev_out_xor_suffix5x,8,575,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:9;2:13;3:55;4:320;5:45;6:76;7:57
ex283,residual,rev_out_xor_suffix5x,9,646,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:7;2:8;3:60;4:323;5:30;6:71;7:91;8:56
ex283,residual,rev_out_xor_suffix5x,10,629,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:6;2:12;3:56;4:225;5:23;6:55;7:97;8:100;9:55
ex283,residual,rev_out_xor_suffix5x,11,564,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:5;2:10;3:46;4:139;5:17;6:29;7:63;8:104;9:101;10:50
ex283,residual,rev_out_xor_suffix5x,12,607,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:4;2:8;3:30;4:73;5:18;6:29;7:56;8:104;9:134;10:106;11:45
ex283,residual,rev_out_xor_suffix5x,13,710,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:3;2:6;3:18;4:35;5:19;6:32;7:56;8:100;9:149;10:155;11:101;12:36
ex283,residual,rev_out_xor_suffix5x,14,747,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1:2;2:4;3:10;4:17;5:19;6:32;7:53;8:86;9:128;10:155;11:136;12:78;13:27
ex284,output,raw,0,11,0:1:2:3:13:15,2:1;3:4;4:6
ex284,output,raw,1,39,0:1:2:3:4:12:14:15,2:3;3:12;4:24
ex284,output,raw,2,91,0:1:2:3:4:5:11:13:14:15,2:5;3:24;4:62
ex284,output,raw,3,175,0:1:2:3:4:5:6:10:12:13:14:15,2:7;3:40;4:128
ex284,output,raw,4,299,0:1:2:3:4:5:6:7:9:11:12:13:14:15,2:9;3:60;4:230
ex284,output,raw,5,193,0:1:2:3:4:5:6:8:10:11:12:13:14:15,2:11;3:72;4:110
ex284,output,raw,6,187,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:1;2:14;3:46;4:126
ex284,output,raw,7,443,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:1;2:14;3:82;4:346
ex284,output,raw,8,611,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:2;2:16;3:84;4:509
ex284,output,raw,9,691,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:2;2:18;3:94;4:577
ex284,output,raw,10,799,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:2;2:20;3:108;4:669
ex284,output,raw,11,959,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:2;2:22;3:126;4:809
ex284,output,raw,12,1195,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:2;2:24;3:148;4:1021
ex284,output,raw,13,809,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:1;2:21;3:134;4:653
ex284,output,raw,14,745,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:1;2:9;3:85;4:650
ex284,output,raw,15,485,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,2:13;3:184;4:288
ex284,output,reverse_output,0,485,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,2:13;3:184;4:288
ex284,output,reverse_output,1,745,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:1;2:9;3:85;4:650
ex284,output,reverse_output,2,809,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:1;2:21;3:134;4:653
ex284,output,reverse_output,3,1195,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:2;2:24;3:148;4:1021
ex284,output,reverse_output,4,959,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:2;2:22;3:126;4:809
ex284,output,reverse_output,5,799,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:2;2:20;3:108;4:669
ex284,output,reverse_output,6,691,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:2;2:18;3:94;4:577
ex284,output,reverse_output,7,611,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:2;2:16;3:84;4:509
ex284,output,reverse_output,8,443,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:1;2:14;3:82;4:346
ex284,output,reverse_output,9,187,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:1;2:14;3:46;4:126
ex284,output,reverse_output,10,193,0:1:2:3:4:5:6:8:10:11:12:13:14:15,2:11;3:72;4:110
ex284,output,reverse_output,11,299,0:1:2:3:4:5:6:7:9:11:12:13:14:15,2:9;3:60;4:230
ex284,output,reverse_output,12,175,0:1:2:3:4:5:6:10:12:13:14:15,2:7;3:40;4:128
ex284,output,reverse_output,13,91,0:1:2:3:4:5:11:13:14:15,2:5;3:24;4:62
ex284,output,reverse_output,14,39,0:1:2:3:4:12:14:15,2:3;3:12;4:24
ex284,output,reverse_output,15,11,0:1:2:3:13:15,2:1;3:4;4:6
ex284,residual,rev_out_xor_5x,0,486,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:1;2:13;3:184;4:288
ex284,residual,rev_out_xor_5x,1,744,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,2:9;3:85;4:650
ex284,residual,rev_out_xor_5x,2,809,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:1;2:21;3:134;4:653
ex284,residual,rev_out_xor_5x,3,1194,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,2:25;3:148;4:1021
ex284,residual,rev_out_xor_5x,4,960,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,2:23;3:128;4:809
ex284,residual,rev_out_xor_5x,5,798,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,2:21;3:108;4:669
ex284,residual,rev_out_xor_5x,6,694,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,2:19;3:93;4:579;5:3
ex284,residual,rev_out_xor_5x,7,622,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,2:17;3:83;4:512;5:7;6:3
ex284,residual,rev_out_xor_5x,8,468,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:1;2:15;3:81;4:349;5:9;6:9;7:4
ex284,residual,rev_out_xor_5x,9,244,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:1;2:15;3:51;4:131;5:11;6:17;7:14;8:4
ex284,residual,rev_out_xor_5x,10,294,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:2;2:12;3:77;4:117;5:12;6:23;7:28;8:18;9:5
ex284,residual,rev_out_xor_5x,11,440,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:2;2:10;3:65;4:237;5:12;6:24;7:34;8:32;9:19;10:5
ex284,residual,rev_out_xor_5x,12,372,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:2;2:8;3:45;4:135;5:12;6:24;7:36;8:42;9:39;10:23;11:6
ex284,residual,rev_out_xor_5x,13,400,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:2;2:6;3:29;4:69;5:12;6:24;7:38;8:54;9:69;10:61;11:30;12:6
ex284,residual,rev_out_xor_5x,14,524,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:2;2:4;3:17;4:31;5:12;6:24;7:39;8:62;9:96;10:111;11:83;12:36;13:7
ex284,residual,rev_out_xor_5x,15,672,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:2;2:2;3:9;4:13;5:12;6:24;7:39;8:63;9:104;10:138;11:133;12:89;13:37;14:7
ex284,residual,rev_out_xor_clmul5x,0,486,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:1;2:13;3:184;4:288
ex284,residual,rev_out_xor_clmul5x,1,744,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,2:9;3:85;4:650
ex284,residual,rev_out_xor_clmul5x,2,809,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:1;2:21;3:134;4:653
ex284,residual,rev_out_xor_clmul5x,3,1193,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,2:24;3:148;4:1021
ex284,residual,rev_out_xor_clmul5x,4,957,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,2:22;3:126;4:809
ex284,residual,rev_out_xor_clmul5x,5,797,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,2:20;3:108;4:669
ex284,residual,rev_out_xor_clmul5x,6,689,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,2:18;3:94;4:577
ex284,residual,rev_out_xor_clmul5x,7,609,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,2:16;3:84;4:509
ex284,residual,rev_out_xor_clmul5x,8,443,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:1;2:14;3:82;4:346
ex284,residual,rev_out_xor_clmul5x,9,187,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:1;2:14;3:46;4:126
ex284,residual,rev_out_xor_clmul5x,10,195,0:1:2:3:4:5:6:8:10:11:12:13:14:15,1:2;2:11;3:72;4:110
ex284,residual,rev_out_xor_clmul5x,11,301,0:1:2:3:4:5:6:7:9:11:12:13:14:15,1:2;2:9;3:60;4:230
ex284,residual,rev_out_xor_clmul5x,12,177,0:1:2:3:4:5:6:10:12:13:14:15,1:2;2:7;3:40;4:128
ex284,residual,rev_out_xor_clmul5x,13,93,0:1:2:3:4:5:11:13:14:15,1:2;2:5;3:24;4:62
ex284,residual,rev_out_xor_clmul5x,14,41,0:1:2:3:4:12:14:15,1:2;2:3;3:12;4:24
ex284,residual,rev_out_xor_clmul5x,15,13,0:1:2:3:13:15,1:2;2:1;3:4;4:6
ex284,residual,rev_out_xor_prefix5x,0,486,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:1;2:13;3:184;4:288
ex284,residual,rev_out_xor_prefix5x,1,745,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:1;2:9;3:85;4:650
ex284,residual,rev_out_xor_prefix5x,2,809,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:1;2:21;3:134;4:653
ex284,residual,rev_out_xor_prefix5x,3,1196,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:3;2:24;3:148;4:1021
ex284,residual,rev_out_xor_prefix5x,4,963,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:4;2:21;3:129;4:809
ex284,residual,rev_out_xor_prefix5x,5,800,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:5;2:19;3:109;4:667
ex284,residual,rev_out_xor_prefix5x,6,695,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:6;2:17;3:94;4:573;5:5
ex284,residual,rev_out_xor_prefix5x,7,626,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:7;2:15;3:82;4:505;5:11;6:6
ex284,residual,rev_out_xor_prefix5x,8,481,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:9;2:13;3:80;4:341;5:16;6:15;7:7
ex284,residual,rev_out_xor_prefix5x,9,274,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:10;2:13;3:52;4:131;5:18;6:23;7:19;8:8
ex284,residual,rev_out_xor_prefix5x,10,331,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:10;2:12;3:74;4:121;5:19;6:29;7:33;8:24;9:9
ex284,residual,rev_out_xor_prefix5x,11,506,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:11;2:12;3:66;4:241;5:19;6:31;7:43;8:44;9:29;10:10
ex284,residual,rev_out_xor_prefix5x,12,477,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:12;2:10;3:46;4:139;5:19;6:32;7:50;8:64;9:59;10:35;11:11
ex284,residual,rev_out_xor_prefix5x,13,520,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:13;2:8;3:30;4:73;5:19;6:32;7:52;8:76;9:89;10:75;11:41;12:12
ex284,residual,rev_out_xor_prefix5x,14,659,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:14;2:6;3:18;4:35;5:19;6:32;7:53;8:84;9:116;10:125;11:96;12:48;13:13
ex284,residual,rev_out_xor_prefix5x,15,886,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:15;2:4;3:10;4:17;5:19;6:32;7:53;8:86;9:130;10:167;11:166;12:118;13:55;14:14
ex284,residual,rev_out_xor_suffix5x,0,501,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:16;2:13;3:184;4:288
ex284,residual,rev_out_xor_suffix5x,1,758,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:14;2:9;3:85;4:650
ex284,residual,rev_out_xor_suffix5x,2,811,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:3;2:21;3:134;4:653
ex284,residual,rev_out_xor_suffix5x,3,1207,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:12;2:26;3:148;4:1021
ex284,residual,rev_out_xor_suffix5x,4,994,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:12;2:31;3:142;4:809
ex284,residual,rev_out_xor_suffix5x,5,813,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:12;2:21;3:125;4:655
ex284,residual,rev_out_xor_suffix5x,6,762,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:11;2:19;3:99;4:577;5:56
ex284,residual,rev_out_xor_suffix5x,7,743,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:10;2:17;3:84;4:511;5:61;6:60
ex284,residual,rev_out_xor_suffix5x,8,654,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1:10;2:15;3:81;4:349;5:50;6:85;7:64
