case,model,input_order,output_order,layer,layer_size,matches,match_ratio,param,mean_cyclic_distance,max_cyclic_distance
ex286,affine,gray_then_reverse,rev_brgc_index,8,1287,6,0.004662,a=-7;b=1011,318.945610,643
ex286,affine,gray_then_reverse,rev_brgc_index,9,715,7,0.009790,a=-3;b=573,178.172028,356
ex286,affine,gray_then_reverse,rev_brgc_index,10,286,7,0.024476,a=-1;b=203,64.377622,143
ex286,affine,gray_then_reverse,rev_brgc_index,11,78,4,0.051282,a=1;b=2,17.974359,38
ex286,affine,gray_then_reverse,rev_brgc_index,12,13,3,0.230769,a=2;b=3,2.307692,6
ex286,affine,gray_then_reverse,rev_brgc_index,13,1,1,1.000000,trivial,0.000000,0
ex286,affine,gray_then_reverse,rev_gray_value,0,1,1,1.000000,trivial,0.000000,0
ex286,affine,gray_then_reverse,rev_gray_value,1,13,5,0.384615,a=-7;b=5,2.538462,6
ex286,affine,gray_then_reverse,rev_gray_value,2,78,5,0.064103,a=1;b=37,17.320513,37
ex286,affine,gray_then_reverse,rev_gray_value,3,286,6,0.020979,a=-1;b=19,64.160839,143
ex286,affine,gray_then_reverse,rev_gray_value,4,715,6,0.008392,a=-1;b=15,175.641958,357
ex286,affine,gray_then_reverse,rev_gray_value,5,1287,7,0.005439,a=5;b=0,317.575758,643
ex286,affine,gray_then_reverse,rev_gray_value,6,1716,7,0.004079,a=1;b=1073,432.256410,858
ex286,affine,gray_then_reverse,rev_gray_value,7,1716,6,0.003497,a=7;b=496,435.052448,858
ex286,affine,gray_then_reverse,rev_gray_value,8,1287,6,0.004662,a=2;b=47,312.777001,643
ex286,affine,gray_then_reverse,rev_gray_value,9,715,6,0.008392,a=-2;b=274,169.218182,357
ex286,affine,gray_then_reverse,rev_gray_value,10,286,9,0.031469,a=1;b=66,62.790210,143
ex286,affine,gray_then_reverse,rev_gray_value,11,78,14,0.179487,a=1;b=12,14.448718,39
ex286,affine,gray_then_reverse,rev_gray_value,12,13,5,0.384615,a=1;b=1,1.692308,6
ex286,affine,gray_then_reverse,rev_gray_value,13,1,1,1.000000,trivial,0.000000,0
ex286,affine,gray_then_reverse,rev_value,0,1,1,1.000000,trivial,0.000000,0
ex286,affine,gray_then_reverse,rev_value,1,13,5,0.384615,a=-7;b=5,2.538462,6
ex286,affine,gray_then_reverse,rev_value,2,78,5,0.064103,a=1;b=36,18.038462,37
ex286,affine,gray_then_reverse,rev_value,3,286,6,0.020979,a=1;b=210,69.332168,143
ex286,affine,gray_then_reverse,rev_value,4,715,6,0.008392,a=3;b=605,175.029371,357
ex286,affine,gray_then_reverse,rev_value,5,1287,7,0.005439,a=5;b=321,328.630148,643
ex286,affine,gray_then_reverse,rev_value,6,1716,6,0.003497,a=-5;b=527,426.060606,858
ex286,affine,gray_then_reverse,rev_value,7,1716,6,0.003497,a=1;b=1208,406.350816,857
ex286,affine,gray_then_reverse,rev_value,8,1287,7,0.005439,a=5;b=0,320.839938,642
ex286,affine,gray_then_reverse,rev_value,9,715,6,0.008392,a=1;b=36,172.240559,357
ex286,affine,gray_then_reverse,rev_value,10,286,6,0.020979,a=-1;b=11,62.230769,143
ex286,affine,gray_then_reverse,rev_value,11,78,13,0.166667,a=-1;b=0,14.423077,39
ex286,affine,gray_then_reverse,rev_value,12,13,5,0.384615,a=-1;b=12,1.692308,6
ex286,affine,gray_then_reverse,rev_value,13,1,1,1.000000,trivial,0.000000,0
ex286,affine,gray_then_reverse,reverse_gray_then_reverse,0,1,1,1.000000,trivial,0.000000,0
ex286,affine,gray_then_reverse,reverse_gray_then_reverse,1,13,4,0.307692,a=7;b=7,2.538462,6
ex286,affine,gray_then_reverse,reverse_gray_then_reverse,2,78,6,0.076923,a=1;b=68,16.756410,38
ex286,affine,gray_then_reverse,reverse_gray_then_reverse,3,286,6,0.020979,a=1;b=0,68.003497,143
ex286,affine,gray_then_reverse,reverse_gray_then_reverse,4,715,8,0.011189,a=1;b=0,177.006993,356
ex286,affine,gray_then_reverse,reverse_gray_then_reverse,5,1287,6,0.004662,a=1;b=330,314.519037,643
ex286,affine,gray_then_reverse,reverse_gray_then_reverse,6,1716,6,0.003497,a=1;b=791,401.408508,858
