case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex261,ex261_smul_baugh_wooley_rows_hcla4_abc_g_aig_d11,1,174,19,3306,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex261/aigs/ex261_smul_baugh_wooley_rows_hcla4_abc_g_aig_d11.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_rows_hcla4; flow=abc_g_aig_d11
ex261,ex261_smul_baugh_wooley_rows_hcla4_abc_g_aig_d13,1,174,19,3306,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex261/aigs/ex261_smul_baugh_wooley_rows_hcla4_abc_g_aig_d13.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_rows_hcla4; flow=abc_g_aig_d13
ex261,ex261_smul_baugh_wooley_rows_hcla4_abc_g_aig_d15,1,174,19,3306,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex261/aigs/ex261_smul_baugh_wooley_rows_hcla4_abc_g_aig_d15.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_rows_hcla4; flow=abc_g_aig_d15
ex261,ex261_smul_baugh_wooley_rows_hcla4_synth_preset_d9,1,173,20,3460,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex261/aigs/ex261_smul_baugh_wooley_rows_hcla4_synth_preset_d9.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_rows_hcla4; flow=synth_preset_d9
ex261,ex261_smul_baugh_wooley_rows_hcla4_synth_preset_d11,1,173,20,3460,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex261/aigs/ex261_smul_baugh_wooley_rows_hcla4_synth_preset_d11.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_rows_hcla4; flow=synth_preset_d11
ex261,ex261_smul_baugh_wooley_rows_hcla4_synth_preset_d15,1,173,20,3460,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex261/aigs/ex261_smul_baugh_wooley_rows_hcla4_synth_preset_d15.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_rows_hcla4; flow=synth_preset_d15
ex263,ex263_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d9,1,357,26,9282,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex263/aigs/ex263_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d9.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig_d9
ex263,ex263_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d11,1,357,26,9282,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex263/aigs/ex263_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d11.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig_d11
ex263,ex263_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d13,1,357,26,9282,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex263/aigs/ex263_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d13.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig_d13
ex263,ex263_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d15,1,357,26,9282,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex263/aigs/ex263_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d15.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig_d15
