case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex267,ex267_udiv_bdd_b_msb_default,1,489,16,7824,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/aigs/ex267_udiv_bdd_b_msb_default.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_b_msb; flow=default
ex267,ex267_udiv_bdd_b_msb_abc_g_aig,1,481,15,7215,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/aigs/ex267_udiv_bdd_b_msb_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_b_msb; flow=abc_g_aig
ex267,ex267_udiv_bdd_b_msb_wreduce_abc_g_aig,1,481,15,7215,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/aigs/ex267_udiv_bdd_b_msb_wreduce_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_b_msb; flow=wreduce_abc_g_aig
ex267,ex267_udiv_bdd_b_msb_synth_preset,1,417,16,6672,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/aigs/ex267_udiv_bdd_b_msb_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_b_msb; flow=synth_preset
ex267,ex267_udiv_bdd_interleave_msb_default,1,350,16,5600,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/aigs/ex267_udiv_bdd_interleave_msb_default.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_interleave_msb; flow=default
ex267,ex267_udiv_bdd_interleave_msb_abc_g_aig,1,345,16,5520,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/aigs/ex267_udiv_bdd_interleave_msb_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_interleave_msb; flow=abc_g_aig
ex267,ex267_udiv_bdd_interleave_msb_wreduce_abc_g_aig,1,345,16,5520,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/aigs/ex267_udiv_bdd_interleave_msb_wreduce_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_interleave_msb; flow=wreduce_abc_g_aig
ex267,ex267_udiv_bdd_interleave_msb_synth_preset,1,333,16,5328,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/aigs/ex267_udiv_bdd_interleave_msb_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_interleave_msb; flow=synth_preset
ex267,ex267_udiv_bdd_a_msb_default,1,681,17,11577,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/aigs/ex267_udiv_bdd_a_msb_default.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_a_msb; flow=default
ex267,ex267_udiv_bdd_a_msb_abc_g_aig,1,676,17,11492,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/aigs/ex267_udiv_bdd_a_msb_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_a_msb; flow=abc_g_aig
ex267,ex267_udiv_bdd_a_msb_wreduce_abc_g_aig,1,676,17,11492,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/aigs/ex267_udiv_bdd_a_msb_wreduce_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_a_msb; flow=wreduce_abc_g_aig
ex267,ex267_udiv_bdd_a_msb_synth_preset,1,633,17,10761,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/aigs/ex267_udiv_bdd_a_msb_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_a_msb; flow=synth_preset
