case,domain,best_area,best_delay,best_adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,candidate_id,hypothesis,function_guess,variant,tool_chain,classification,verilog_path,aig_path,source_kind,source_csv,notes
ex235,fp16,1628,14,22792,20800,1.095769,1,0,ex235_direct_special_low8_hi6_synth_preset,fp16_reciprocal_sqrt / fp16_reciprocal_sqrt / fp16_reciprocal_sqrt / fp16_reciprocal_sqrt,fp16_reciprocal_sqrt / fp16_reciprocal_sqrt / fp16_reciprocal_sqrt / fp16_reciprocal_sqrt,direct_special_low8_hi6_synth_preset,,semantic_direct_special_open,student/seeds/fp16/ex220_ex239_current/ex235/verilog/ex235_direct_special_low8_hi6_synth_preset.v,student/seeds/fp16/ex220_ex239_current/ex235/aigs/ex235_direct_special_low8_hi6_synth_preset.aig,seed,student/seeds/fp16/ex220_ex239_current/results/best.csv,"semantic_special=reciprocal_sqrt: exp0 signed inf, +inf zero, other inactive canonical NaN; low_width=8; nested_hi=6; classes=0,1; b14:runs=31,max=2,const=29; b13:runs=32,max=2,const=28; b12:runs=34,max=2,const=26; b11:runs=38,max=2,const=22; b10:runs=45,max=2,const=15; b9:runs=60,max=3,const=15; b8:runs=90,max=4,const=0"
ex236,fp16,1432,15,21480,17290,1.242337,1,0,ex236_core_clamp_hi6_abc_g_aig,fp16_cube / fp16_cube / fp16_cube / fp16_cube,fp16_cube / fp16_cube / fp16_cube / fp16_cube,core_clamp_hi6_abc_g_aig,,semantic_core_clamp,student/seeds/fp16/ex220_ex239_current/ex236/verilog/ex236_core_clamp_hi6_abc_g_aig.v,student/seeds/fp16/ex220_ex239_current/ex236/aigs/ex236_core_clamp_hi6_abc_g_aig.aig,seed,student/seeds/fp16/ex220_ex239_current/results/best.csv,"exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=6; boundary_clamp=exp10 mant1..0x109 zero, mant0x10a min-normal, exp20 mant>=0x10b inf"
ex237,fp16,1889,16,30224,25440,1.188050,1,0,ex237_direct_special_low10_hi6_synth_preset,fp16_cbrt / fp16_cbrt / fp16_cbrt / fp16_cbrt,fp16_cbrt / fp16_cbrt / fp16_cbrt / fp16_cbrt,direct_special_low10_hi6_synth_preset,,semantic_direct_special_open,student/seeds/fp16/ex220_ex239_current/ex237/verilog/ex237_direct_special_low10_hi6_synth_preset.v,student/seeds/fp16/ex220_ex239_current/ex237/aigs/ex237_direct_special_low10_hi6_synth_preset.aig,seed,student/seeds/fp16/ex220_ex239_current/results/best.csv,"semantic_special=cbrt: exp0 signed zero, inf pass, NaN canonical; low_width=10; nested_hi=6; classes=0,1,2; b14:runs=31,max=2,const=29; b13:runs=31,max=2,const=29; b12:runs=33,max=2,const=27; b11:runs=35,max=2,const=25; b10:runs=40,max=2,const=20"
ex238,fp16,1502,15,22530,16549,1.361412,1,0,ex238_core_boundary_low12_hi6_synth_preset,fp16_reciprocal_cube / fp16_reciprocal_cube / fp16_reciprocal_cube / fp16_reciprocal_cube,fp16_reciprocal_cube / fp16_reciprocal_cube / fp16_reciprocal_cube / fp16_reciprocal_cube,core_boundary_low12_hi6_synth_preset,,semantic_core_boundary,student/seeds/fp16/ex220_ex239_current/ex238/verilog/ex238_core_boundary_low12_hi6_synth_preset.v,student/seeds/fp16/ex220_ex239_current/ex238/aigs/ex238_core_boundary_low12_hi6_synth_preset.aig,seed,student/seeds/fp16/ex220_ex239_current/results/best.csv,"special=semantic reciprocal_cube: exp<=8 signed inf, exp>=20/inf signed zero, NaN canonical; exp_delta_width=2; exp_delta_runs=4; exp_delta_max=3; mant_high=; low_width=10; nested_hi=6; boundary_low_width=12; nested_hi=6; const_buckets=63; explicit_items=1040; boundary_b14_runs=2; max=1; boundary_b13_runs=2; max=1; boundary_b12_runs=2; max=1"
ex239,fp16,2026,16,32416,25965,1.248450,1,0,ex239_direct_special_low7_hi6_abc_g_aig,fp16_reciprocal_cbrt / fp16_reciprocal_cbrt / fp16_reciprocal_cbrt / fp16_reciprocal_cbrt,fp16_reciprocal_cbrt / fp16_reciprocal_cbrt / fp16_reciprocal_cbrt / fp16_reciprocal_cbrt,direct_special_low7_hi6_abc_g_aig,,semantic_direct_special_open,student/seeds/fp16/ex220_ex239_current/ex239/verilog/ex239_direct_special_low7_hi6_abc_g_aig.v,student/seeds/fp16/ex220_ex239_current/ex239/aigs/ex239_direct_special_low7_hi6_abc_g_aig.aig,seed,student/seeds/fp16/ex220_ex239_current/results/best.csv,"semantic_special=reciprocal_cbrt: exp0 signed inf, inf signed zero, NaN canonical; low_width=7; nested_hi=6; classes=0,1,2; b14:runs=31,max=2,const=29; b13:runs=31,max=2,const=29; b12:runs=32,max=2,const=28; b11:runs=35,max=2,const=25; b10:runs=40,max=2,const=20; b9:runs=50,max=2,const=10; b8:runs=70,max=3,const=0; b7:runs=110,max=5,const=0"
ex240,float_fp8,590,51,30090,13299,2.262576,0,0,ex240_semantic_add_same_grs_diff_param8_synth_preset_aig,fp8_e4m3fn_add,fp8_e4m3fn_add,semantic_add_same_grs_diff_param8_synth_preset_aig,,semantic_exact,student/seeds/float_fp8/ex240_ex254_current/ex240/verilog/ex240_semantic_add_same_grs_diff_param8_synth_preset_aig.v,student/seeds/float_fp8/ex240_ex254_current/ex240/aigs/ex240_semantic_add_same_grs_diff_param8_synth_preset_aig.aig,seed,student/seeds/float_fp8/ex240_ex254_current/results/best.csv,
ex241,float_fp8,536,29,15544,7224,2.151717,0,0,ex241_semantic_mul_product_nested_exp_synth_preset_aig,fp8_e4m3fn_mul,fp8_e4m3fn_mul,semantic_mul_product_nested_exp_synth_preset_aig,,semantic_exact,student/seeds/float_fp8/ex240_ex254_current/ex241/verilog/ex241_semantic_mul_product_nested_exp_synth_preset_aig.v,student/seeds/float_fp8/ex240_ex254_current/ex241/aigs/ex241_semantic_mul_product_nested_exp_synth_preset_aig.aig,seed,student/seeds/float_fp8/ex240_ex254_current/results/best.csv,
ex242,float_fp8,1266,20,25320,11900,2.127731,0,0,ex242_semantic_div_field_sparse_clean_synth_preset_aig,fp8_e4m3fn_div_low_over_high,fp8_e4m3fn_div_low_over_high,semantic_div_field_sparse_clean_synth_preset_aig,,semantic_exact,student/seeds/float_fp8/ex240_ex254_current/ex242/verilog/ex242_semantic_div_field_sparse_clean_synth_preset_aig.v,student/seeds/float_fp8/ex240_ex254_current/ex242/aigs/ex242_semantic_div_field_sparse_clean_synth_preset_aig.aig,seed,student/seeds/float_fp8/ex240_ex254_current/results/best.csv,
ex243,float_fp8,1790,27,48330,53227,0.907998,1,1,ex243_semantic_fmod_modsig_nested_delta_abc_g_aig,fp8_e4m3fn_fmod_low_by_high_abs,fp8_e4m3fn_fmod_low_by_high_abs,semantic_fmod_modsig_nested_delta_abc_g_aig,,semantic_exact,student/seeds/float_fp8/ex240_ex254_current/ex243/verilog/ex243_semantic_fmod_modsig_nested_delta_abc_g_aig.v,student/seeds/float_fp8/ex240_ex254_current/ex243/aigs/ex243_semantic_fmod_modsig_nested_delta_abc_g_aig.aig,seed,student/seeds/float_fp8/ex240_ex254_current/results/best.csv,
ex244,float_fp8,301,34,10234,4272,2.395599,0,0,ex244_semantic_hypot_delta_maxeff_bdd_expfirst_synth_preset_aig,fp8_e4m3fn_hypot_abs,fp8_e4m3fn_hypot_abs,semantic_hypot_delta_maxeff_bdd_expfirst_synth_preset_aig,,semantic_exact,student/seeds/float_fp8/ex240_ex254_current/ex244/verilog/ex244_semantic_hypot_delta_maxeff_bdd_expfirst_synth_preset_aig.v,student/seeds/float_fp8/ex240_ex254_current/ex244/aigs/ex244_semantic_hypot_delta_maxeff_bdd_expfirst_synth_preset_aig.aig,seed,student/seeds/float_fp8/ex240_ex254_current/results/best.csv,
ex245,float_fp8,701,34,23834,11050,2.156923,0,0,ex245_semantic_add_gap_class_synth_preset_aig,fp8_e5m2fn_add,fp8_e5m2fn_add,semantic_add_gap_class_synth_preset_aig,,semantic_exact,student/seeds/float_fp8/ex240_ex254_current/ex245/verilog/ex245_semantic_add_gap_class_synth_preset_aig.v,student/seeds/float_fp8/ex240_ex254_current/ex245/aigs/ex245_semantic_add_gap_class_synth_preset_aig.aig,seed,student/seeds/float_fp8/ex240_ex254_current/results/best.csv,; curated_source_csv=student/runs/float_fp8/ex245_frontend_fp8_e5m2_add_gap_class_fix_20260608_1705/results/candidates.csv
ex246,float_fp8,341,22,7502,2805,2.674510,0,0,ex246_semantic_mul_product_dc_seed12_set11to10_synth_preset_aig,fp8_e5m2fn_mul,fp8_e5m2fn_mul,semantic_mul_product_dc_seed12_set11to10_synth_preset_aig,,semantic_exact,student/seeds/float_fp8/ex240_ex254_current/ex246/verilog/ex246_semantic_mul_product_dc_seed12_set11to10_synth_preset_aig.v,student/seeds/float_fp8/ex240_ex254_current/ex246/aigs/ex246_semantic_mul_product_dc_seed12_set11to10_synth_preset_aig.aig,seed,student/seeds/float_fp8/ex240_ex254_current/results/best.csv,
ex247,float_fp8,365,25,9125,2975,3.067227,0,0,ex247_semantic_div_bound_smallpat_nested_den_synth_preset_aig,fp8_e5m2fn_div_low_over_high,fp8_e5m2fn_div_low_over_high,semantic_div_bound_smallpat_nested_den_synth_preset_aig,,semantic_exact,student/seeds/float_fp8/ex240_ex254_current/ex247/verilog/ex247_semantic_div_bound_smallpat_nested_den_synth_preset_aig.v,student/seeds/float_fp8/ex240_ex254_current/ex247/aigs/ex247_semantic_div_bound_smallpat_nested_den_synth_preset_aig.aig,seed,student/seeds/float_fp8/ex240_ex254_current/results/best.csv,
ex248,float_fp8,285,30,8550,4180,2.045455,0,0,ex248_semantic_fmod_periodic_rem_abc_g_aig,fp8_e5m2fn_fmod_low_by_high,fp8_e5m2fn_fmod_low_by_high,semantic_fmod_periodic_rem_abc_g_aig,,semantic_exact,student/seeds/float_fp8/ex240_ex254_current/ex248/verilog/ex248_semantic_fmod_periodic_rem_abc_g_aig.v,student/seeds/float_fp8/ex240_ex254_current/ex248/aigs/ex248_semantic_fmod_periodic_rem_abc_g_aig.aig,seed,student/seeds/float_fp8/ex240_ex254_current/results/best.csv,; curated_source_csv=student/runs/float_fp8/ex248_frontend_fp8_e5m2_fmod_periodic_20260608_1646/results/candidates.csv
ex249,float_fp8,168,26,4368,2079,2.101010,0,0,ex249_semantic_hypot_threshold_rawexp_synth_preset_aig,fp8_e5m2fn_hypot_abs,fp8_e5m2fn_hypot_abs,semantic_hypot_threshold_rawexp_synth_preset_aig,,semantic_exact,student/seeds/float_fp8/ex240_ex254_current/ex249/verilog/ex249_semantic_hypot_threshold_rawexp_synth_preset_aig.v,student/seeds/float_fp8/ex240_ex254_current/ex249/aigs/ex249_semantic_hypot_threshold_rawexp_synth_preset_aig.aig,seed,student/seeds/float_fp8/ex240_ex254_current/results/best.csv,; curated_source_csv=student/runs/float_fp8/ex249_frontend_fp8_e5m2_hypot_rawexp_20260608_1712/results/candidates.csv
ex250,float_fp8,413,41,16933,20355,0.831884,1,1,ex250_semantic_fp4_dot2_magarith_qcase_synth_preset_aig,packed_fp4_e2m1_dot2_to_e4m3,packed_fp4_e2m1_dot2_to_e4m3,semantic_fp4_dot2_magarith_qcase_synth_preset_aig,,semantic_exact,student/seeds/float_fp8/ex240_ex254_current/ex250/verilog/ex250_semantic_fp4_dot2_magarith_qcase_synth_preset_aig.v,student/seeds/float_fp8/ex240_ex254_current/ex250/aigs/ex250_semantic_fp4_dot2_magarith_qcase_synth_preset_aig.aig,seed,student/seeds/float_fp8/ex240_ex254_current/results/best.csv,
ex251,float_fp8,495,38,18810,39270,0.478992,1,1,ex251_semantic_int3_dot2_arith_qcase_abc_g_aig,packed_int3_signmag_dot2_to_e4m3,packed_int3_signmag_dot2_to_e4m3,semantic_int3_dot2_arith_qcase_abc_g_aig,,semantic_exact,student/seeds/float_fp8/ex240_ex254_current/ex251/verilog/ex251_semantic_int3_dot2_arith_qcase_abc_g_aig.v,student/seeds/float_fp8/ex240_ex254_current/ex251/aigs/ex251_semantic_int3_dot2_arith_qcase_abc_g_aig.aig,seed,student/seeds/float_fp8/ex240_ex254_current/results/best.csv,
ex252,float_fp8,145,21,3045,2603,1.169804,1,0,ex252_semantic_u2_dot4_handmul_balanced_qcase_default,packed_u2_dot4_to_e4m3,packed_u2_dot4_to_e4m3,semantic_u2_dot4_handmul_balanced_qcase_default,,semantic_exact,student/seeds/float_fp8/ex240_ex254_current/ex252/verilog/ex252_semantic_u2_dot4_handmul_balanced_qcase_default.v,student/seeds/float_fp8/ex240_ex254_current/ex252/aigs/ex252_semantic_u2_dot4_handmul_balanced_qcase_default.aig,seed,student/seeds/float_fp8/ex240_ex254_current/results/best.csv,
ex253,float_fp8,126,18,2268,1845,1.229268,1,0,ex253_semantic_u2_sum8_popcount_laneqcase_default,packed_u2_sum8_times2_to_e4m3,packed_u2_sum8_times2_to_e4m3,semantic_u2_sum8_popcount_laneqcase_default,,semantic_exact,student/seeds/float_fp8/ex240_ex254_current/ex253/verilog/ex253_semantic_u2_sum8_popcount_laneqcase_default.v,student/seeds/float_fp8/ex240_ex254_current/ex253/aigs/ex253_semantic_u2_sum8_popcount_laneqcase_default.aig,seed,student/seeds/float_fp8/ex240_ex254_current/results/best.csv,
ex254,float_fp8,662,55,36410,38220,0.952643,1,1,ex254_semantic_e4add_fp4product_grs_magfactored_abc_g_aig,e4m3_accumulator_plus_fp4_e2m1_product,e4m3_accumulator_plus_fp4_e2m1_product,semantic_e4add_fp4product_grs_magfactored_abc_g_aig,,semantic_exact,student/seeds/float_fp8/ex240_ex254_current/ex254/verilog/ex254_semantic_e4add_fp4product_grs_magfactored_abc_g_aig.v,student/seeds/float_fp8/ex240_ex254_current/ex254/aigs/ex254_semantic_e4add_fp4product_grs_magfactored_abc_g_aig.aig,seed,student/seeds/float_fp8/ex240_ex254_current/results/best.csv,
ex255,integer,87,13,1131,836,1.352871,1,0,ex255_umul_wallace_bits_abc_g_aig,unsigned low4_high4:a*b,unsigned low4_high4:a*b,wallace_bits+abc_g_aig,,semantic_mul_exact,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex255/verilog/ex255_umul_wallace_bits.v,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex255/aigs/ex255_umul_wallace_bits_abc_g_aig.aig,run,student/runs/integer/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/results/candidates.csv,exact unsigned low4 * high4 over 256 inputs; source=wallace_bits; flow=abc_g_aig
ex256,integer,159,18,2862,1911,1.497645,1,0,ex256_umul_csa_androws_cla_abc_g_aig,unsigned low5_high5:a*b,unsigned low5_high5:a*b,csa_androws_cla+abc_g_aig,,semantic_mul_exact,student/work/ex256_ex257_frontend_umul_csa_order_cla_20260609_0137/ex256/verilog/ex256_umul_csa_androws_cla.v,student/work/ex256_ex257_frontend_umul_csa_order_cla_20260609_0137/ex256/aigs/ex256_umul_csa_androws_cla_abc_g_aig.aig,run,student/runs/integer/ex256_ex257_frontend_umul_csa_order_cla_20260609_0137/results/candidates.csv,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=abc_g_aig
ex257,integer,263,20,5260,3952,1.330972,1,0,ex257_umul_csa_androws_cla_from3_synth_preset_d13,unsigned low6_high6:a*b,unsigned low6_high6:a*b,csa_androws_cla_from3+synth_preset_d13,,semantic_mul_exact,student/work/ex255_ex259_frontend_umul_cla_spread_20260609_0133/ex257/verilog/ex257_umul_csa_androws_cla_from3.v,student/work/ex255_ex259_frontend_umul_cla_spread_20260609_0133/ex257/aigs/ex257_umul_csa_androws_cla_from3_synth_preset_d13.aig,run,student/runs/integer/ex255_ex259_frontend_umul_cla_spread_20260609_0133/results/candidates.csv,exact unsigned low6 * high6 over 4096 inputs; focused source=csa_androws_cla_from3; flow=synth_preset_d13
ex258,integer,351,25,8775,6289,1.395293,1,0,ex258_umul_wallace_bits_abc_g_aig,unsigned low7_high7:a*b,unsigned low7_high7:a*b,wallace_bits+abc_g_aig,,semantic_mul_exact,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex258/verilog/ex258_umul_wallace_bits.v,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex258/aigs/ex258_umul_wallace_bits_abc_g_aig.aig,run,student/runs/integer/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/results/candidates.csv,exact unsigned low7 * high7 over 16384 inputs; source=wallace_bits; flow=abc_g_aig
ex259,integer,480,28,13440,10000,1.344000,1,0,ex259_umul_wallace_bits_cla_abc_g_aig,unsigned low8_high8:a*b,unsigned low8_high8:a*b,wallace_bits_cla+abc_g_aig,,semantic_mul_exact,student/work/ex255_ex259_frontend_umul_cla_spread_20260609_0133/ex259/verilog/ex259_umul_wallace_bits_cla.v,student/work/ex255_ex259_frontend_umul_cla_spread_20260609_0133/ex259/aigs/ex259_umul_wallace_bits_cla_abc_g_aig.aig,run,student/runs/integer/ex255_ex259_frontend_umul_cla_spread_20260609_0133/results/candidates.csv,exact unsigned low8 * high8 over 65536 inputs; focused source=wallace_bits_cla; flow=abc_g_aig
ex260,integer,88,13,1144,657,1.741248,0,0,ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig,signed low4_high4:a*b,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4+abc_g_aig,,semantic_signed_mul_exact,student/work/ex260_ex263_frontend_smul_constfa_signbit_20260609_0638/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_constfa_signbit_20260609_0638/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig.aig,run,student/runs/integer/ex260_ex263_frontend_smul_constfa_signbit_20260609_0638/results/candidates.csv,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=abc_g_aig
ex261,integer,164,18,2952,2041,1.446350,1,0,ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig,signed low5_high5:a*b,signed low5_high5:a*b,baugh_wooley_wallace_hcla4+abc_g_aig,,semantic_signed_mul_exact,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex261/verilog/ex261_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig.aig,run,student/runs/integer/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/results/candidates.csv,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig
ex262,integer,252,22,5544,4900,1.131429,1,0,ex262_smul_baugh_wooley_wallace_hcla4_abc_g_aig,signed low6_high6:a*b,signed low6_high6:a*b,baugh_wooley_wallace_hcla4+abc_g_aig,,semantic_signed_mul_exact,student/work/ex260_ex264_frontend_smul_baugh_hcla_all_20260609_0324/ex262/verilog/ex262_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex264_frontend_smul_baugh_hcla_all_20260609_0324/ex262/aigs/ex262_smul_baugh_wooley_wallace_hcla4_abc_g_aig.aig,run,student/runs/integer/ex260_ex264_frontend_smul_baugh_hcla_all_20260609_0324/results/candidates.csv,exact signed low6 * signed high6 over 4096 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig
ex263,integer,362,24,8688,6840,1.270175,1,0,ex263_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d11,signed low7_high7:a*b,signed low7_high7:a*b,baugh_wooley_wallace_outside_hcla1+synth_preset_d11,,semantic_signed_mul_exact,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex263/verilog/ex263_smul_baugh_wooley_wallace_outside_hcla1.v,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex263/aigs/ex263_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d11.aig,run,student/runs/integer/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/results/candidates.csv,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=synth_preset_d11
ex264,integer,486,27,13122,9724,1.349445,1,0,ex264_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig,signed low8_high8:a*b,signed low8_high8:a*b,baugh_wooley_wallace_rev_hcla6+abc_g_aig,,semantic_signed_mul_exact,student/work/ex260_ex264_frontend_smul_order_edge_start_20260609_0605/ex264/verilog/ex264_smul_baugh_wooley_wallace_rev_hcla6.v,student/work/ex260_ex264_frontend_smul_order_edge_start_20260609_0605/ex264/aigs/ex264_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig.aig,run,student/runs/integer/ex260_ex264_frontend_smul_order_edge_start_20260609_0605/results/candidates.csv,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_rev_hcla6; flow=abc_g_aig
ex265,integer,63,8,504,322,1.565217,0,0,ex265_udiv_cof_bhi3_ahi1_bitbdd_wordmux_synth_preset,unsigned low4_high4:a/b dbz=max,unsigned low4_high4:a/b dbz=max,cof_bhi3_ahi1_bitbdd_wordmux+synth_preset,,semantic_udiv_exact,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/verilog/ex265_udiv_cof_bhi3_ahi1_bitbdd_wordmux.v,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/aigs/ex265_udiv_cof_bhi3_ahi1_bitbdd_wordmux_synth_preset.aig,run,student/runs/integer/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/results/candidates.csv,unsigned low4_high4:a/b dbz=max exact; source=cof_bhi3_ahi1_bitbdd_wordmux; flow=synth_preset
ex266,integer,148,10,1480,848,1.745283,0,0,ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_synth_preset_d18,unsigned low5_high5:a/b dbz=max,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_a4_bitbdd_wordmux+synth_preset_d18,,semantic_udiv_exact,student/work/ex266_frontend_udiv_best_wordmux_flow_20260609_1204/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux.v,student/work/ex266_frontend_udiv_best_wordmux_flow_20260609_1204/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_synth_preset_d18.aig,run,student/runs/integer/ex266_frontend_udiv_best_wordmux_flow_20260609_1204/results/candidates.csv,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a4_bitbdd_wordmux; flow=synth_preset_d18
ex267,integer,340,12,4080,2651,1.539042,0,0,ex267_udiv_hybrid_top2_deep_abc_g_aig,unsigned lowN_highN:a/b dbz=max,unsigned lowN_highN:a/b dbz=max,udiv_hybrid_top2_deep+abc_g_aig,,semantic_udiv_exact,student/work/ex267_frontend_udiv_hybrid_top2_flow_20260609_1805/ex267/verilog/ex267_udiv_hybrid_top2_deep.v,student/work/ex267_frontend_udiv_hybrid_top2_flow_20260609_1805/ex267/aigs/ex267_udiv_hybrid_top2_deep_abc_g_aig.aig,run,student/runs/integer/ex267_frontend_udiv_hybrid_top2_flow_20260609_1805/results/candidates.csv,unsigned low6_high6:a/b dbz=max exact; source=udiv_hybrid_top2_deep; flow=abc_g_aig
ex268,integer,199,53,10547,7446,1.416465,1,0,ex268_udiv_denom_lz_range_direct_synth_preset,unsigned low7_high7:a/b dbz=max,unsigned low7_high7:a/b dbz=max,denom_lz_range_direct+synth_preset,,semantic_udiv_exact,student/work/ex268_ex269_frontend_udiv_lz_range_20260609_0915/ex268/verilog/ex268_udiv_denom_lz_range_direct.v,student/work/ex268_ex269_frontend_udiv_lz_range_20260609_0915/ex268/aigs/ex268_udiv_denom_lz_range_direct_synth_preset.aig,run,student/runs/integer/ex268_ex269_frontend_udiv_lz_range_20260609_0915/results/candidates.csv,unsigned low7_high7:a/b dbz=max exact; source=denom_lz_range_direct; flow=synth_preset
ex269,integer,380,41,15580,11760,1.324830,1,0,ex269_udiv_radix4_shift_subtract_wreduce_abc_g_aig,unsigned low8_high8:a/b dbz=max,unsigned low8_high8:a/b dbz=max,radix4_shift_subtract+wreduce_abc_g_aig,,semantic_udiv_exact,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex269/verilog/ex269_udiv_radix4_shift_subtract.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex269/aigs/ex269_udiv_radix4_shift_subtract_wreduce_abc_g_aig.aig,run,student/runs/integer/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/results/candidates.csv,unsigned low8_high8:a/b dbz=max exact; source=radix4_shift_subtract; flow=wreduce_abc_g_aig
ex270,integer,191,17,3247,2076,1.564066,0,0,ex270_square_wallace_square_outside_csel5_abc_g_aig,unsigned_square_x_times_x,unsigned_square_x_times_x,wallace_square_outside_csel5+abc_g_aig,,square_specific_structural_rtl,student/work/ex270_ex271_square_fullcase_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_csel5.v,student/work/ex270_ex271_square_fullcase_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_csel5_abc_g_aig.aig,run,student/runs/integer/ex270_ex271_square_fullcase_20260609_1138/results/candidates.csv,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_csel5; flow=abc_g_aig
ex271,integer,331,25,8275,5542,1.493143,1,0,ex271_square_wallace_square_outside_csel4_synth_preset,unsigned_square_x_times_x,unsigned_square_x_times_x,wallace_square_outside_csel4+synth_preset,,square_specific_structural_rtl,student/work/ex270_ex271_square_fullcase_20260609_1138/ex271/verilog/ex271_square_wallace_square_outside_csel4.v,student/work/ex270_ex271_square_fullcase_20260609_1138/ex271/aigs/ex271_square_wallace_square_outside_csel4_synth_preset.aig,run,student/runs/integer/ex270_ex271_square_fullcase_20260609_1138/results/candidates.csv,exact unsigned 10-bit square x*x over 1024 inputs; source=wallace_square_outside_csel4; flow=synth_preset
ex272,integer,507,32,16224,10880,1.491176,1,0,ex272_square_wallace_square_outside_csel5_synth_preset,unsigned_square_x_times_x,unsigned_square_x_times_x,wallace_square_outside_csel5+synth_preset,,square_specific_structural_rtl,student/work/ex270_ex274_square_carryselect2_20260609_1138/ex272/verilog/ex272_square_wallace_square_outside_csel5.v,student/work/ex270_ex274_square_carryselect2_20260609_1138/ex272/aigs/ex272_square_wallace_square_outside_csel5_synth_preset.aig,run,student/runs/integer/ex270_ex274_square_carryselect2_20260609_1138/results/candidates.csv,exact unsigned 12-bit square x*x over 4096 inputs; source=wallace_square_outside_csel5; flow=synth_preset
ex273,integer,797,33,26301,15078,1.744329,0,0,ex273_square_hybrid_bddtop4_wreduce_abc_g_aig,unsigned_square_x_times_x,unsigned_square_x_times_x,hybrid_bddtop4+wreduce_abc_g_aig,,square_specific_structural_rtl,student/work/ex273_ex274_frontend_square_block4_decomp_20260609_1240/ex273/verilog/ex273_square_hybrid_bddtop4.v,student/work/ex273_ex274_frontend_square_block4_decomp_20260609_1240/ex273/aigs/ex273_square_hybrid_bddtop4_wreduce_abc_g_aig.aig,run,student/runs/integer/ex273_ex274_frontend_square_block4_decomp_20260609_1240/results/candidates.csv,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4; flow=wreduce_abc_g_aig
