case,candidate_id,parent_id,source,tool_chain,aig_path,area,delay,adp,equivalent,runtime_sec,notes
ex264,ex264_abc_dch_dc2,ex264_baseline,abc,abc_dch_dc2,student/work/pipeline/abc_all_full_20260602_1524/ex264/abc_dch_dc2/ex264_abc_dch_dc2.aig,64877,24,1557048,1,17.979,abc portfolio flow
ex264,ex264_abc_dc2_rw,ex264_baseline,abc,abc_dc2_rw,student/work/pipeline/abc_all_full_20260602_1524/ex264/abc_dc2_rw/ex264_abc_dc2_rw.aig,65743,25,1643575,1,5.125,abc portfolio flow
ex264,ex264_abc_dch_rw,ex264_baseline,abc,abc_dch_rw,student/work/pipeline/abc_all_full_20260602_1524/ex264/abc_dch_rw/ex264_abc_dch_rw.aig,65218,24,1565232,1,16.820,abc portfolio flow
ex264,ex264_abc_src_rw,ex264_baseline,abc,abc_src_rw,student/work/pipeline/abc_all_full_20260602_1524/ex264/abc_src_rw/ex264_abc_src_rw.aig,70565,63,4445595,1,3.397,abc portfolio flow
ex264,ex264_abc_src_rws,ex264_baseline,abc,abc_src_rws,student/work/pipeline/abc_all_full_20260602_1524/ex264/abc_src_rws/ex264_abc_src_rws.aig,68432,63,4311216,1,7.641,abc portfolio flow
ex264,ex264_abc_delay_try,ex264_baseline,abc,abc_delay_try,student/work/pipeline/abc_all_full_20260602_1524/ex264/abc_delay_try/ex264_abc_delay_try.aig,65951,25,1648775,1,5.849,abc portfolio flow
ex265,ex265_baseline,,baseline,baseline,/home/b10507053/ALS_Final_Project/baselines/abc_st/aigs/ex265.aig,162,15,2430,1,0.095,from baseline directory
ex265,ex265_abc_resyn,ex265_baseline,abc,abc_resyn,student/work/pipeline/abc_all_full_20260602_1524/ex265/abc_resyn/ex265_abc_resyn.aig,125,11,1375,1,0.161,abc portfolio flow
ex265,ex265_abc_resyn2,ex265_baseline,abc,abc_resyn2,student/work/pipeline/abc_all_full_20260602_1524/ex265/abc_resyn2/ex265_abc_resyn2.aig,115,11,1265,1,0.161,abc portfolio flow
ex265,ex265_abc_resyn2a,ex265_baseline,abc,abc_resyn2a,student/work/pipeline/abc_all_full_20260602_1524/ex265/abc_resyn2a/ex265_abc_resyn2a.aig,126,11,1386,1,0.162,abc portfolio flow
ex265,ex265_abc_resyn3,ex265_baseline,abc,abc_resyn3,student/work/pipeline/abc_all_full_20260602_1524/ex265/abc_resyn3/ex265_abc_resyn3.aig,134,13,1742,1,0.135,abc portfolio flow
ex265,ex265_abc_compress2,ex265_baseline,abc,abc_compress2,student/work/pipeline/abc_all_full_20260602_1524/ex265/abc_compress2/ex265_abc_compress2.aig,119,10,1190,1,0.162,abc portfolio flow
ex265,ex265_abc_resyn2rs,ex265_baseline,abc,abc_resyn2rs,student/work/pipeline/abc_all_full_20260602_1524/ex265/abc_resyn2rs/ex265_abc_resyn2rs.aig,115,12,1380,1,0.170,abc portfolio flow
