case,status,evaluate_area,evaluate_delay,evaluate_adp,selection_area,selection_delay,selection_adp,qor_match,candidate_id,aig_path
ex259,OK,480,28,13440,480,28,13440,1,ex259_umul_wallace_bits_cla_abc_g_aig,student/new_seeds/integer/ex255_ex279_current/ex259/aigs/ex259_umul_wallace_bits_cla_abc_g_aig.aig
ex260,OK,92,12,1104,92,12,1104,1,ex260_smul_bw4_center_rhcla2_abc_g_aig,student/new_seeds/integer/ex255_ex279_current/ex260/aigs/ex260_smul_bw4_center_rhcla2_abc_g_aig.aig
ex261,OK,164,18,2952,164,18,2952,1,ex261_current_frontend_replay_post_dch,student/new_seeds/integer/ex255_ex279_current/ex261/aigs/ex261_current_frontend_replay_post_dch.aig
ex262,OK,252,22,5544,252,22,5544,1,ex262_smul_baugh_wooley_wallace_hcla4_abc_g_aig,student/new_seeds/integer/ex255_ex279_current/ex262/aigs/ex262_smul_baugh_wooley_wallace_hcla4_abc_g_aig.aig
ex263,OK,362,24,8688,362,24,8688,1,ex263_smul_baugh_wooley_wallace_outside_hcla1_mod_synth_preset_d11,student/new_seeds/integer/ex255_ex279_current/ex263/aigs/ex263_smul_baugh_wooley_wallace_outside_hcla1_mod_synth_preset_d11.aig
ex264,OK,486,27,13122,486,27,13122,1,ex264_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig,student/new_seeds/integer/ex255_ex279_current/ex264/aigs/ex264_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig.aig
ex265,OK,58,8,464,58,8,464,1,ex265_r6_range_bhi2_lut_abc_g_aig,student/new_seeds/integer/ex255_ex279_current/ex265/aigs/ex265_r6_range_bhi2_lut_abc_g_aig.aig
ex266,OK,148,10,1480,148,10,1480,1,ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_synth_preset_d18,student/new_seeds/integer/ex255_ex279_current/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_synth_preset_d18.aig
ex267,OK,331,12,3972,331,12,3972,1,ex267_r9_q54_formula_overlay,student/new_seeds/integer/ex255_ex279_current/ex267/aigs/ex267_r9_q54_formula_overlay.aig
ex268,OK,199,53,10547,199,53,10547,1,ex268_udiv_denom_lz_range_direct_synth_preset,student/new_seeds/integer/ex255_ex279_current/ex268/aigs/ex268_udiv_denom_lz_range_direct_synth_preset.aig
