case,candidate_id,hypothesis,function_guess,variant,verilog_path,aig_path,verified_truth,equivalent,area,delay,adp,notes
ex201,ex201_bf16_exp2_hybrid_pair_table_bits_9_25_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bits_9_25_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bits_9_25_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bits_9_25_mode.aig,1,1,1592,16,25472,base pair table with bits 9_25 replaced by bit-mode tables
ex201,ex201_bf16_exp2_hybrid_pair_table_bits_9_31_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bits_9_31_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bits_9_31_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bits_9_31_mode.aig,1,1,1595,15,23925,base pair table with bits 9_31 replaced by bit-mode tables
ex201,ex201_bf16_exp2_hybrid_pair_table_bits_9_15_25_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bits_9_15_25_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bits_9_15_25_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bits_9_15_25_mode.aig,1,1,1605,15,24075,base pair table with bits 9_15_25 replaced by bit-mode tables
ex201,ex201_bf16_exp2_hybrid_pair_table_bits_9_15_31_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bits_9_15_31_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bits_9_15_31_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bits_9_15_31_mode.aig,1,1,1604,16,25664,base pair table with bits 9_15_31 replaced by bit-mode tables
ex201,ex201_bf16_exp2_hybrid_pair_table_bits_9_25_31_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bits_9_25_31_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bits_9_25_31_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bits_9_25_31_mode.aig,1,1,1605,15,24075,base pair table with bits 9_25_31 replaced by bit-mode tables
ex201,ex201_bf16_exp2_hybrid_pair_table_bits_9_15_25_31_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bits_9_15_25_31_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bits_9_15_25_31_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bits_9_15_25_31_mode.aig,1,1,1589,16,25424,base pair table with bits 9_15_25_31 replaced by bit-mode tables
ex201,ex201_bf16_exp2_hybrid_pair_table_bits_9_14_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bits_9_14_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bits_9_14_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bits_9_14_mode.aig,1,1,1613,16,25808,base pair table with bits 9_14 replaced by bit-mode tables
ex201,ex201_bf16_exp2_hybrid_pair_table_bits_9_17_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bits_9_17_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bits_9_17_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bits_9_17_mode.aig,1,1,1622,16,25952,base pair table with bits 9_17 replaced by bit-mode tables
ex201,ex201_bf16_exp2_hybrid_pair_table_bits_9_19_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bits_9_19_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bits_9_19_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bits_9_19_mode.aig,1,1,1601,17,27217,base pair table with bits 9_19 replaced by bit-mode tables
ex201,ex201_bf16_exp2_hybrid_pair_table_bits_9_30_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bits_9_30_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bits_9_30_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bits_9_30_mode.aig,1,1,1612,16,25792,base pair table with bits 9_30 replaced by bit-mode tables
ex201,ex201_bf16_exp2_hybrid_pair_table_bits_2_9_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bits_2_9_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bits_2_9_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bits_2_9_mode.aig,1,1,1607,16,25712,base pair table with bits 2_9 replaced by bit-mode tables
ex201,ex201_bf16_exp2_hybrid_pair_table_bits_4_9_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bits_4_9_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bits_4_9_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bits_4_9_mode.aig,1,1,1609,16,25744,base pair table with bits 4_9 replaced by bit-mode tables
ex201,ex201_bf16_exp2_hybrid_pair_table_bits_9_11_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bits_9_11_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bits_9_11_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bits_9_11_mode.aig,1,1,1601,16,25616,base pair table with bits 9_11 replaced by bit-mode tables
ex201,ex201_bf16_exp2_hybrid_pair_table_bits_9_20_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bits_9_20_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bits_9_20_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bits_9_20_mode.aig,1,1,1607,16,25712,base pair table with bits 9_20 replaced by bit-mode tables
ex201,ex201_bf16_exp2_hybrid_pair_table_bits_9_22_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bits_9_22_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bits_9_22_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bits_9_22_mode.aig,1,1,1601,17,27217,base pair table with bits 9_22 replaced by bit-mode tables
ex201,ex201_bf16_exp2_hybrid_pair_table_bits_9_26_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bits_9_26_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bits_9_26_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bits_9_26_mode.aig,1,1,1612,16,25792,base pair table with bits 9_26 replaced by bit-mode tables
ex201,ex201_bf16_exp2_hybrid_pair_table_bits_9_24_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bits_9_24_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bits_9_24_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bits_9_24_mode.aig,1,1,1597,15,23955,base pair table with bits 9_24 replaced by bit-mode tables
ex202,ex202_bf16_exp10_best_shape_no_sign_plain,bf16_exp10,DAZ + 10^x + BF16 RNE + FTZ + canonical NaN,best_shape_no_sign_plain,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/verilog/ex202_bf16_exp10_best_shape_no_sign_plain.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/aigs/ex202_bf16_exp10_best_shape_no_sign_plain.aig,1,1,3786,17,64362,current best sign_exp mode-word field shape without output sign; style=plain; init_one=False; skip=False
