case,input_coord,output_coord,degree,exact_bits,total_bits,total_terms,low_degree_terms,max_degree,bit_term_counts,bit_degrees,notes
ex286,gray_natural,prefix_onehot,4,1,13,35447,5997,13,2391:3630:3307:3690:619:7:3444:3386:3619:2062:3418:2458:3416,12:13:13:13:8:1:13:13:13:10:13:12:13,output-coordinate ANF over transformed input coordinates
ex286,gray_natural,prefix_onehot,3,1,13,35447,2149,13,2391:3630:3307:3690:619:7:3444:3386:3619:2062:3418:2458:3416,12:13:13:13:8:1:13:13:13:10:13:12:13,output-coordinate ANF over transformed input coordinates
ex286,gray_natural,prefix_onehot,2,1,13,35447,536,13,2391:3630:3307:3690:619:7:3444:3386:3619:2062:3418:2458:3416,12:13:13:13:8:1:13:13:13:10:13:12:13,output-coordinate ANF over transformed input coordinates
ex286,gray_natural,prefix_onehot,1,1,13,35447,84,13,2391:3630:3307:3690:619:7:3444:3386:3619:2062:3418:2458:3416,12:13:13:13:8:1:13:13:13:10:13:12:13,output-coordinate ANF over transformed input coordinates
ex286,gray_natural,prefix_natural,4,1,13,37193,6213,13,3689:3651:3590:3428:2303:2251:2284:2242:3487:3589:3396:3276:7,13:13:13:13:9:9:9:9:13:13:13:13:1,output-coordinate ANF over transformed input coordinates
ex286,gray_natural,suffix_reverse,4,1,13,37193,6213,13,3689:3651:3590:3428:2303:2251:2284:2242:3487:3589:3396:3276:7,13:13:13:13:9:9:9:9:13:13:13:13:1,output-coordinate ANF over transformed input coordinates
ex286,gray_natural,prefix_natural,3,1,13,37193,2103,13,3689:3651:3590:3428:2303:2251:2284:2242:3487:3589:3396:3276:7,13:13:13:13:9:9:9:9:13:13:13:13:1,output-coordinate ANF over transformed input coordinates
ex286,gray_natural,suffix_reverse,3,1,13,37193,2103,13,3689:3651:3590:3428:2303:2251:2284:2242:3487:3589:3396:3276:7,13:13:13:13:9:9:9:9:13:13:13:13:1,output-coordinate ANF over transformed input coordinates
ex286,gray_natural,prefix_natural,2,1,13,37193,509,13,3689:3651:3590:3428:2303:2251:2284:2242:3487:3589:3396:3276:7,13:13:13:13:9:9:9:9:13:13:13:13:1,output-coordinate ANF over transformed input coordinates
ex286,gray_natural,suffix_reverse,2,1,13,37193,509,13,3689:3651:3590:3428:2303:2251:2284:2242:3487:3589:3396:3276:7,13:13:13:13:9:9:9:9:13:13:13:13:1,output-coordinate ANF over transformed input coordinates
ex286,gray_natural,prefix_natural,1,1,13,37193,62,13,3689:3651:3590:3428:2303:2251:2284:2242:3487:3589:3396:3276:7,13:13:13:13:9:9:9:9:13:13:13:13:1,output-coordinate ANF over transformed input coordinates
ex286,gray_natural,suffix_reverse,1,1,13,37193,62,13,3689:3651:3590:3428:2303:2251:2284:2242:3487:3589:3396:3276:7,13:13:13:13:9:9:9:9:13:13:13:13:1,output-coordinate ANF over transformed input coordinates
ex286,gray_reverse,prefix_onehot,4,1,13,37197,5409,13,2759:3734:3325:3970:453:7:3366:3360:3747:2822:3362:2684:3608,12:13:13:13:8:1:13:13:13:10:13:12:13,output-coordinate ANF over transformed input coordinates
