case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex255,ex255_umul_csa_androws_default,unsigned low4_high4:a*b,csa_androws+default,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/verilog/ex255_umul_csa_androws.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/aigs/ex255_umul_csa_androws_default.aig,1,1,1,112,14,1568,836,1.875598,0,0,0.189,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=csa_androws; flow=default
ex257,ex257_umul_csa_concat_center_abc_g_aig,unsigned low6_high6:a*b,csa_concat_center+abc_g_aig,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/verilog/ex257_umul_csa_concat_center.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/aigs/ex257_umul_csa_concat_center_abc_g_aig.aig,1,1,1,245,24,5880,3952,1.487854,1,0,0.255,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=csa_concat_center; flow=abc_g_aig
ex257,ex257_umul_csa_concat_center_synth_preset,unsigned low6_high6:a*b,csa_concat_center+synth_preset,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/verilog/ex257_umul_csa_concat_center.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/aigs/ex257_umul_csa_concat_center_synth_preset.aig,1,1,1,245,26,6370,3952,1.611842,0,0,0.332,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=csa_concat_center; flow=synth_preset
ex258,ex258_umul_csa_androws_default,unsigned low7_high7:a*b,csa_androws+default,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/verilog/ex258_umul_csa_androws.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/aigs/ex258_umul_csa_androws_default.aig,1,1,1,464,29,13456,6289,2.139609,0,0,0.450,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=csa_androws; flow=default
ex258,ex258_umul_csa_androws_abc_g_aig,unsigned low7_high7:a*b,csa_androws+abc_g_aig,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/verilog/ex258_umul_csa_androws.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/aigs/ex258_umul_csa_androws_abc_g_aig.aig,1,1,1,347,29,10063,6289,1.600095,0,0,0.442,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=csa_androws; flow=abc_g_aig
ex258,ex258_umul_csa_androws_synth_preset,unsigned low7_high7:a*b,csa_androws+synth_preset,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/verilog/ex258_umul_csa_androws.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/aigs/ex258_umul_csa_androws_synth_preset.aig,1,1,1,350,29,10150,6289,1.613929,0,0,0.529,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=csa_androws; flow=synth_preset
ex258,ex258_umul_csa_concat_default,unsigned low7_high7:a*b,csa_concat+default,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/verilog/ex258_umul_csa_concat.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/aigs/ex258_umul_csa_concat_default.aig,1,1,1,432,29,12528,6289,1.992050,0,0,0.449,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=csa_concat; flow=default
ex258,ex258_umul_csa_concat_abc_g_aig,unsigned low7_high7:a*b,csa_concat+abc_g_aig,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/verilog/ex258_umul_csa_concat.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/aigs/ex258_umul_csa_concat_abc_g_aig.aig,1,1,1,344,29,9976,6289,1.586262,0,0,0.448,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=csa_concat; flow=abc_g_aig
ex258,ex258_umul_csa_concat_synth_preset,unsigned low7_high7:a*b,csa_concat+synth_preset,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/verilog/ex258_umul_csa_concat.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/aigs/ex258_umul_csa_concat_synth_preset.aig,1,1,1,350,29,10150,6289,1.613929,0,0,0.526,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=csa_concat; flow=synth_preset
ex258,ex258_umul_csa_concat_rev_default,unsigned low7_high7:a*b,csa_concat_rev+default,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/verilog/ex258_umul_csa_concat_rev.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/aigs/ex258_umul_csa_concat_rev_default.aig,1,1,1,429,33,14157,6289,2.251073,0,0,0.453,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=csa_concat_rev; flow=default
ex258,ex258_umul_csa_concat_rev_abc_g_aig,unsigned low7_high7:a*b,csa_concat_rev+abc_g_aig,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/verilog/ex258_umul_csa_concat_rev.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/aigs/ex258_umul_csa_concat_rev_abc_g_aig.aig,1,1,1,360,33,11880,6289,1.889013,0,0,0.456,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=csa_concat_rev; flow=abc_g_aig
ex258,ex258_umul_csa_concat_rev_synth_preset,unsigned low7_high7:a*b,csa_concat_rev+synth_preset,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/verilog/ex258_umul_csa_concat_rev.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/aigs/ex258_umul_csa_concat_rev_synth_preset.aig,1,1,1,368,31,11408,6289,1.813961,0,0,0.587,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=csa_concat_rev; flow=synth_preset
ex258,ex258_umul_csa_concat_evenodd_default,unsigned low7_high7:a*b,csa_concat_evenodd+default,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/verilog/ex258_umul_csa_concat_evenodd.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/aigs/ex258_umul_csa_concat_evenodd_default.aig,1,1,1,444,30,13320,6289,2.117984,0,0,0.450,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=csa_concat_evenodd; flow=default
ex258,ex258_umul_csa_concat_evenodd_abc_g_aig,unsigned low7_high7:a*b,csa_concat_evenodd+abc_g_aig,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/verilog/ex258_umul_csa_concat_evenodd.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/aigs/ex258_umul_csa_concat_evenodd_abc_g_aig.aig,1,1,1,365,30,10950,6289,1.741135,0,0,0.449,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=csa_concat_evenodd; flow=abc_g_aig
ex258,ex258_umul_csa_concat_evenodd_synth_preset,unsigned low7_high7:a*b,csa_concat_evenodd+synth_preset,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/verilog/ex258_umul_csa_concat_evenodd.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/aigs/ex258_umul_csa_concat_evenodd_synth_preset.aig,1,1,1,369,34,12546,6289,1.994912,0,0,0.594,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=csa_concat_evenodd; flow=synth_preset
ex258,ex258_umul_csa_concat_outside_default,unsigned low7_high7:a*b,csa_concat_outside+default,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/verilog/ex258_umul_csa_concat_outside.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/aigs/ex258_umul_csa_concat_outside_default.aig,1,1,1,448,31,13888,6289,2.208300,0,0,0.499,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=csa_concat_outside; flow=default
ex258,ex258_umul_csa_concat_outside_abc_g_aig,unsigned low7_high7:a*b,csa_concat_outside+abc_g_aig,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/verilog/ex258_umul_csa_concat_outside.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/aigs/ex258_umul_csa_concat_outside_abc_g_aig.aig,1,1,1,358,31,11098,6289,1.764668,0,0,0.586,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=csa_concat_outside; flow=abc_g_aig
ex258,ex258_umul_csa_concat_outside_synth_preset,unsigned low7_high7:a*b,csa_concat_outside+synth_preset,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/verilog/ex258_umul_csa_concat_outside.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/aigs/ex258_umul_csa_concat_outside_synth_preset.aig,1,1,1,362,30,10860,6289,1.726825,0,0,0.544,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=csa_concat_outside; flow=synth_preset
ex258,ex258_umul_csa_concat_center_default,unsigned low7_high7:a*b,csa_concat_center+default,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/verilog/ex258_umul_csa_concat_center.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/aigs/ex258_umul_csa_concat_center_default.aig,1,1,1,442,32,14144,6289,2.249006,0,0,0.455,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=csa_concat_center; flow=default
ex258,ex258_umul_csa_concat_center_abc_g_aig,unsigned low7_high7:a*b,csa_concat_center+abc_g_aig,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/verilog/ex258_umul_csa_concat_center.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/aigs/ex258_umul_csa_concat_center_abc_g_aig.aig,1,1,1,372,32,11904,6289,1.892829,0,0,0.451,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=csa_concat_center; flow=abc_g_aig
ex258,ex258_umul_csa_concat_center_synth_preset,unsigned low7_high7:a*b,csa_concat_center+synth_preset,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/verilog/ex258_umul_csa_concat_center.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/aigs/ex258_umul_csa_concat_center_synth_preset.aig,1,1,1,371,31,11501,6289,1.828749,0,0,0.517,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=csa_concat_center; flow=synth_preset
ex259,ex259_umul_csa_androws_default,unsigned low8_high8:a*b,csa_androws+default,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/verilog/ex259_umul_csa_androws.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/aigs/ex259_umul_csa_androws_default.aig,1,1,1,639,34,21726,10000,2.172600,0,0,1.828,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; source=csa_androws; flow=default
ex259,ex259_umul_csa_androws_abc_g_aig,unsigned low8_high8:a*b,csa_androws+abc_g_aig,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/verilog/ex259_umul_csa_androws.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/aigs/ex259_umul_csa_androws_abc_g_aig.aig,1,1,1,475,34,16150,10000,1.615000,0,0,1.820,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; source=csa_androws; flow=abc_g_aig
ex259,ex259_umul_csa_androws_synth_preset,unsigned low8_high8:a*b,csa_androws+synth_preset,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/verilog/ex259_umul_csa_androws.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/aigs/ex259_umul_csa_androws_synth_preset.aig,1,1,1,469,32,15008,10000,1.500800,0,0,1.976,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; source=csa_androws; flow=synth_preset
ex259,ex259_umul_csa_concat_default,unsigned low8_high8:a*b,csa_concat+default,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/verilog/ex259_umul_csa_concat.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/aigs/ex259_umul_csa_concat_default.aig,1,1,1,626,32,20032,10000,2.003200,0,0,1.880,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; source=csa_concat; flow=default
ex259,ex259_umul_csa_concat_abc_g_aig,unsigned low8_high8:a*b,csa_concat+abc_g_aig,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/verilog/ex259_umul_csa_concat.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/aigs/ex259_umul_csa_concat_abc_g_aig.aig,1,1,1,469,32,15008,10000,1.500800,0,0,1.869,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; source=csa_concat; flow=abc_g_aig
ex259,ex259_umul_csa_concat_synth_preset,unsigned low8_high8:a*b,csa_concat+synth_preset,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/verilog/ex259_umul_csa_concat.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/aigs/ex259_umul_csa_concat_synth_preset.aig,1,1,1,469,32,15008,10000,1.500800,0,0,1.998,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; source=csa_concat; flow=synth_preset
ex259,ex259_umul_csa_concat_rev_default,unsigned low8_high8:a*b,csa_concat_rev+default,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/verilog/ex259_umul_csa_concat_rev.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/aigs/ex259_umul_csa_concat_rev_default.aig,1,1,1,627,34,21318,10000,2.131800,0,0,2.155,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; source=csa_concat_rev; flow=default
ex259,ex259_umul_csa_concat_rev_abc_g_aig,unsigned low8_high8:a*b,csa_concat_rev+abc_g_aig,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/verilog/ex259_umul_csa_concat_rev.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/aigs/ex259_umul_csa_concat_rev_abc_g_aig.aig,1,1,1,481,34,16354,10000,1.635400,0,0,1.861,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; source=csa_concat_rev; flow=abc_g_aig
ex259,ex259_umul_csa_concat_rev_synth_preset,unsigned low8_high8:a*b,csa_concat_rev+synth_preset,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/verilog/ex259_umul_csa_concat_rev.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/aigs/ex259_umul_csa_concat_rev_synth_preset.aig,1,1,1,472,34,16048,10000,1.604800,0,0,2.535,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; source=csa_concat_rev; flow=synth_preset
ex259,ex259_umul_csa_concat_evenodd_default,unsigned low8_high8:a*b,csa_concat_evenodd+default,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/verilog/ex259_umul_csa_concat_evenodd.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/aigs/ex259_umul_csa_concat_evenodd_default.aig,1,1,1,612,34,20808,10000,2.080800,0,0,1.910,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; source=csa_concat_evenodd; flow=default
ex259,ex259_umul_csa_concat_evenodd_abc_g_aig,unsigned low8_high8:a*b,csa_concat_evenodd+abc_g_aig,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/verilog/ex259_umul_csa_concat_evenodd.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/aigs/ex259_umul_csa_concat_evenodd_abc_g_aig.aig,1,1,1,497,34,16898,10000,1.689800,0,0,1.982,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; source=csa_concat_evenodd; flow=abc_g_aig
ex259,ex259_umul_csa_concat_evenodd_synth_preset,unsigned low8_high8:a*b,csa_concat_evenodd+synth_preset,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/verilog/ex259_umul_csa_concat_evenodd.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/aigs/ex259_umul_csa_concat_evenodd_synth_preset.aig,1,1,1,497,36,17892,10000,1.789200,0,0,2.056,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; source=csa_concat_evenodd; flow=synth_preset
ex259,ex259_umul_csa_concat_outside_default,unsigned low8_high8:a*b,csa_concat_outside+default,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/verilog/ex259_umul_csa_concat_outside.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/aigs/ex259_umul_csa_concat_outside_default.aig,1,1,1,619,33,20427,10000,2.042700,0,0,1.983,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; source=csa_concat_outside; flow=default
ex259,ex259_umul_csa_concat_outside_abc_g_aig,unsigned low8_high8:a*b,csa_concat_outside+abc_g_aig,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/verilog/ex259_umul_csa_concat_outside.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/aigs/ex259_umul_csa_concat_outside_abc_g_aig.aig,1,1,1,483,33,15939,10000,1.593900,0,0,1.988,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; source=csa_concat_outside; flow=abc_g_aig
ex259,ex259_umul_csa_concat_outside_synth_preset,unsigned low8_high8:a*b,csa_concat_outside+synth_preset,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/verilog/ex259_umul_csa_concat_outside.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/aigs/ex259_umul_csa_concat_outside_synth_preset.aig,1,1,1,481,34,16354,10000,1.635400,0,0,1.994,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; source=csa_concat_outside; flow=synth_preset
ex259,ex259_umul_csa_concat_center_default,unsigned low8_high8:a*b,csa_concat_center+default,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/verilog/ex259_umul_csa_concat_center.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/aigs/ex259_umul_csa_concat_center_default.aig,1,1,1,634,37,23458,10000,2.345800,0,0,2.321,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; source=csa_concat_center; flow=default
ex259,ex259_umul_csa_concat_center_abc_g_aig,unsigned low8_high8:a*b,csa_concat_center+abc_g_aig,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/verilog/ex259_umul_csa_concat_center.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/aigs/ex259_umul_csa_concat_center_abc_g_aig.aig,1,1,1,493,37,18241,10000,1.824100,0,0,1.840,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; source=csa_concat_center; flow=abc_g_aig
ex259,ex259_umul_csa_concat_center_synth_preset,unsigned low8_high8:a*b,csa_concat_center+synth_preset,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/verilog/ex259_umul_csa_concat_center.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/aigs/ex259_umul_csa_concat_center_synth_preset.aig,1,1,1,481,34,16354,10000,1.635400,0,0,1.967,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; source=csa_concat_center; flow=synth_preset
