case,class_key_count,representative_model,matches,total_classes,match_ratio,first_mismatch
ex288,13824,max_center_bitrev,44,13824,0.003183,"key=((0, 0, 0, 0, 0, 0, 0, 1, 1), (0, 0, 0));pred=0x6000;exp=0xc;class_size=1"
ex288,13824,min_outside_bitrev,44,13824,0.003183,"key=((0, 0, 0, 0, 0, 0, 0, 1, 1), (0, 0, 0));pred=0x6000;exp=0xc;class_size=1"
ex288,13824,min_center_bitrev,36,13824,0.002604,"key=((0, 0, 0, 0, 0, 0, 0, 1, 1), (0, 0, 0));pred=0x6000;exp=0xc;class_size=1"
ex288,13824,max_outside_bitrev,36,13824,0.002604,"key=((0, 0, 0, 0, 0, 0, 0, 1, 1), (0, 0, 0));pred=0x6000;exp=0xc;class_size=1"
ex289,20736,min_natural_bitrev,141,20736,0.006800,"key=((0, 0, 0, 0, 0, 0, 0, 1), (0, 0, 0, 0));pred=0x8000;exp=0x4000;class_size=1"
ex289,20736,max_natural,141,20736,0.006800,"key=((0, 0, 0, 0, 0, 0, 0, 1), (0, 0, 0, 0));pred=0x1;exp=0x4000;class_size=1"
ex289,20736,min_reverse,141,20736,0.006800,"key=((0, 0, 0, 0, 0, 0, 0, 1), (0, 0, 0, 0));pred=0x1;exp=0x4000;class_size=1"
ex289,20736,max_reverse_bitrev,141,20736,0.006800,"key=((0, 0, 0, 0, 0, 0, 0, 1), (0, 0, 0, 0));pred=0x8000;exp=0x4000;class_size=1"
ex289,20736,min_onehot_bitrev,141,20736,0.006800,"key=((0, 0, 0, 0, 0, 0, 0, 1), (0, 0, 0, 0));pred=0x8000;exp=0x4000;class_size=1"
ex289,20736,max_onehot,141,20736,0.006800,"key=((0, 0, 0, 0, 0, 0, 0, 1), (0, 0, 0, 0));pred=0x1;exp=0x4000;class_size=1"
ex289,20736,min_onehot_rev_bitrev,141,20736,0.006800,"key=((0, 0, 0, 0, 0, 0, 0, 1), (0, 0, 0, 0));pred=0x8000;exp=0x4000;class_size=1"
ex289,20736,max_onehot_rev,141,20736,0.006800,"key=((0, 0, 0, 0, 0, 0, 0, 1), (0, 0, 0, 0));pred=0x1;exp=0x4000;class_size=1"
ex289,20736,min_center_bitrev,71,20736,0.003424,"key=((0, 0, 0, 0, 0, 0, 0, 1), (0, 0, 0, 0));pred=0x8000;exp=0x4000;class_size=1"
ex289,20736,max_center,71,20736,0.003424,"key=((0, 0, 0, 0, 0, 0, 0, 1), (0, 0, 0, 0));pred=0x1;exp=0x4000;class_size=1"
