case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex265,ex265_udiv_small_divisor_fast_direct_synth_preset,unsigned low4_high4:a/b dbz=max,small_divisor_fast_direct+synth_preset,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/verilog/ex265_udiv_small_divisor_fast_direct.v,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/aigs/ex265_udiv_small_divisor_fast_direct_synth_preset.aig,1,1,1,50,18,900,322,2.795031,0,0,0.323,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=small_divisor_fast_direct; flow=synth_preset
ex266,ex266_udiv_direct_safe_default,unsigned low5_high5:a/b dbz=max,direct_safe+default,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex266/verilog/ex266_udiv_direct_safe.v,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex266/aigs/ex266_udiv_direct_safe_default.aig,1,1,1,103,29,2987,848,3.522406,0,0,0.284,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=direct_safe; flow=default
ex266,ex266_udiv_direct_safe_abc_g_aig,unsigned low5_high5:a/b dbz=max,direct_safe+abc_g_aig,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex266/verilog/ex266_udiv_direct_safe.v,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex266/aigs/ex266_udiv_direct_safe_abc_g_aig.aig,1,1,1,91,29,2639,848,3.112028,0,0,0.284,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=direct_safe; flow=abc_g_aig
ex266,ex266_udiv_direct_safe_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,direct_safe+wreduce_abc_g_aig,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex266/verilog/ex266_udiv_direct_safe.v,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex266/aigs/ex266_udiv_direct_safe_wreduce_abc_g_aig.aig,1,1,1,91,29,2639,848,3.112028,0,0,0.284,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=direct_safe; flow=wreduce_abc_g_aig
ex266,ex266_udiv_direct_safe_synth_preset,unsigned low5_high5:a/b dbz=max,direct_safe+synth_preset,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex266/verilog/ex266_udiv_direct_safe.v,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex266/aigs/ex266_udiv_direct_safe_synth_preset.aig,1,1,1,91,29,2639,848,3.112028,0,0,0.341,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=direct_safe; flow=synth_preset
ex266,ex266_udiv_direct_gt_guard_default,unsigned low5_high5:a/b dbz=max,direct_gt_guard+default,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex266/verilog/ex266_udiv_direct_gt_guard.v,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex266/aigs/ex266_udiv_direct_gt_guard_default.aig,1,1,1,100,28,2800,848,3.301887,0,0,0.293,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=direct_gt_guard; flow=default
ex266,ex266_udiv_direct_gt_guard_abc_g_aig,unsigned low5_high5:a/b dbz=max,direct_gt_guard+abc_g_aig,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex266/verilog/ex266_udiv_direct_gt_guard.v,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex266/aigs/ex266_udiv_direct_gt_guard_abc_g_aig.aig,1,1,1,88,28,2464,848,2.905660,0,0,0.294,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=direct_gt_guard; flow=abc_g_aig
ex266,ex266_udiv_direct_gt_guard_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,direct_gt_guard+wreduce_abc_g_aig,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex266/verilog/ex266_udiv_direct_gt_guard.v,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex266/aigs/ex266_udiv_direct_gt_guard_wreduce_abc_g_aig.aig,1,1,1,88,28,2464,848,2.905660,0,0,0.291,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=direct_gt_guard; flow=wreduce_abc_g_aig
ex266,ex266_udiv_direct_gt_guard_synth_preset,unsigned low5_high5:a/b dbz=max,direct_gt_guard+synth_preset,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex266/verilog/ex266_udiv_direct_gt_guard.v,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex266/aigs/ex266_udiv_direct_gt_guard_synth_preset.aig,1,1,1,88,28,2464,848,2.905660,0,0,0.348,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=direct_gt_guard; flow=synth_preset
ex266,ex266_udiv_restoring_gt_guard_default,unsigned low5_high5:a/b dbz=max,restoring_gt_guard+default,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex266/verilog/ex266_udiv_restoring_gt_guard.v,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex266/aigs/ex266_udiv_restoring_gt_guard_default.aig,1,1,1,109,38,4142,848,4.884434,0,0,0.283,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=restoring_gt_guard; flow=default
ex266,ex266_udiv_restoring_gt_guard_abc_g_aig,unsigned low5_high5:a/b dbz=max,restoring_gt_guard+abc_g_aig,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex266/verilog/ex266_udiv_restoring_gt_guard.v,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex266/aigs/ex266_udiv_restoring_gt_guard_abc_g_aig.aig,1,1,1,106,38,4028,848,4.750000,0,0,0.266,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=restoring_gt_guard; flow=abc_g_aig
ex266,ex266_udiv_restoring_gt_guard_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,restoring_gt_guard+wreduce_abc_g_aig,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex266/verilog/ex266_udiv_restoring_gt_guard.v,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex266/aigs/ex266_udiv_restoring_gt_guard_wreduce_abc_g_aig.aig,1,1,1,106,39,4134,848,4.875000,0,0,0.268,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=restoring_gt_guard; flow=wreduce_abc_g_aig
ex266,ex266_udiv_restoring_gt_guard_synth_preset,unsigned low5_high5:a/b dbz=max,restoring_gt_guard+synth_preset,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex266/verilog/ex266_udiv_restoring_gt_guard.v,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex266/aigs/ex266_udiv_restoring_gt_guard_synth_preset.aig,1,1,1,89,29,2581,848,3.043632,0,0,0.318,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=restoring_gt_guard; flow=synth_preset
