case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex261,ex261_smul_abs_sign_wallace_abc_g_aig_d13,1,177,24,4248,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex261/aigs/ex261_smul_abs_sign_wallace_abc_g_aig_d13.aig,exact signed low5 * signed high5 over 1024 inputs; source=abs_sign_wallace; flow=abc_g_aig_d13
ex261,ex261_smul_direct_signed_abc_g_aig,1,203,25,5075,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex261/aigs/ex261_smul_direct_signed_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=direct_signed; flow=abc_g_aig
ex261,ex261_smul_direct_signed_wreduce_abc_g_aig,1,203,25,5075,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex261/aigs/ex261_smul_direct_signed_wreduce_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=direct_signed; flow=wreduce_abc_g_aig
ex261,ex261_smul_direct_signed_synth_preset_d9,1,197,23,4531,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex261/aigs/ex261_smul_direct_signed_synth_preset_d9.aig,exact signed low5 * signed high5 over 1024 inputs; source=direct_signed; flow=synth_preset_d9
ex261,ex261_smul_direct_signed_synth_preset_d13,1,197,23,4531,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex261/aigs/ex261_smul_direct_signed_synth_preset_d13.aig,exact signed low5 * signed high5 over 1024 inputs; source=direct_signed; flow=synth_preset_d13
ex261,ex261_smul_direct_signed_synth_preset_d18,1,197,23,4531,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex261/aigs/ex261_smul_direct_signed_synth_preset_d18.aig,exact signed low5 * signed high5 over 1024 inputs; source=direct_signed; flow=synth_preset_d18
ex261,ex261_smul_direct_signed_abc_g_aig_d13,1,203,25,5075,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex261/aigs/ex261_smul_direct_signed_abc_g_aig_d13.aig,exact signed low5 * signed high5 over 1024 inputs; source=direct_signed; flow=abc_g_aig_d13
ex262,ex262_smul_booth_radix4_balanced_abc_g_aig,1,246,28,6888,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex262/aigs/ex262_smul_booth_radix4_balanced_abc_g_aig.aig,exact signed low6 * signed high6 over 4096 inputs; source=booth_radix4_balanced; flow=abc_g_aig
ex262,ex262_smul_booth_radix4_balanced_wreduce_abc_g_aig,1,246,28,6888,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex262/aigs/ex262_smul_booth_radix4_balanced_wreduce_abc_g_aig.aig,exact signed low6 * signed high6 over 4096 inputs; source=booth_radix4_balanced; flow=wreduce_abc_g_aig
ex262,ex262_smul_booth_radix4_balanced_synth_preset_d9,1,258,28,7224,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex262/aigs/ex262_smul_booth_radix4_balanced_synth_preset_d9.aig,exact signed low6 * signed high6 over 4096 inputs; source=booth_radix4_balanced; flow=synth_preset_d9
