case,domain,category,current_best_adp,current_best_area,current_best_delay,current_best_source,current_best_run,frontend_best_adp,frontend_best_run,backend_best_adp,backend_best_run,reference_adp,gap_to_reference,ratio_to_reference,priority,recommendation
ex237,fp16,"FP16 unary ops: same 20 operations as BF16, IEEE 754 half precision with DAZ+FTZ.",24276,1734,14,backend,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,30224,ex235_ex237_ex239_frontend_fp16_direct_special_20260608_0924,24276,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,25440,-1164,0.954245,already_beat_or_low_priority,do not spend frontend time unless polishing
ex238,fp16,"FP16 unary ops: same 20 operations as BF16, IEEE 754 half precision with DAZ+FTZ.",18070,1390,13,backend,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,22530,ex200_ex299_frontend_refgap_round27_20260613_0613,18070,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,16549,1521,1.091909,backend_more_first,case is close enough for targeted backend
ex239,fp16,"FP16 unary ops: same 20 operations as BF16, IEEE 754 half precision with DAZ+FTZ.",25382,1813,14,backend,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,32416,ex235_ex237_ex239_frontend_fp16_direct_special_specs_20260608_0929,25382,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,25965,-583,0.977547,already_beat_or_low_priority,do not spend frontend time unless polishing
ex240,float_fp8,Float conversion and FP8 arithmetic: FP16/BF16 to FP8 variants for ex240-ex253; FP8 addition for ex254.,14300,550,26,frontend,newseeds_float_fp8_v3a_20260614_1951,14300,newseeds_float_fp8_v3a_20260614_1951,16160,float_fp8_v3_ga_adaptive_ex240-ex254_20260614_0729,13299,1001,1.075269,frontend_high,rethink high-level description and shared-structure RTL
ex241,float_fp8,Float conversion and FP8 arithmetic: FP16/BF16 to FP8 variants for ex240-ex253; FP8 addition for ex254.,7258,382,19,frontend,newseeds_float_fp8_v3a_20260614_1951,7258,newseeds_float_fp8_v3a_20260614_1951,7833,float_fp8_v3_ga_adaptive_ex240-ex254_20260614_0729_v3b_feedback_short,7224,34,1.004707,frontend_high,rethink high-level description and shared-structure RTL
ex242,float_fp8,Float conversion and FP8 arithmetic: FP16/BF16 to FP8 variants for ex240-ex253; FP8 addition for ex254.,8880,592,15,frontend,newseeds_float_fp8_v3a_20260614_1951,8880,newseeds_float_fp8_v3a_20260614_1951,11522,float_fp8_v3_ga_adaptive_ex240-ex254_20260614_0729,11900,-3020,0.746218,already_beat_or_low_priority,do not spend frontend time unless polishing
ex243,float_fp8,Float conversion and FP8 arithmetic: FP16/BF16 to FP8 variants for ex240-ex253; FP8 addition for ex254.,24940,1247,20,frontend,newseeds_float_fp8_v3a_20260614_1951,24940,newseeds_float_fp8_v3a_20260614_1951,28200,float_fp8_v3_ga_adaptive_ex240-ex254_20260614_0729,53227,-28287,0.468559,already_beat_or_low_priority,do not spend frontend time unless polishing
ex244,float_fp8,Float conversion and FP8 arithmetic: FP16/BF16 to FP8 variants for ex240-ex253; FP8 addition for ex254.,4968,216,23,frontend,newseeds_float_fp8_v3a_20260614_1951,4968,newseeds_float_fp8_v3a_20260614_1951,5425,float_fp8_v3_ga_adaptive_ex240-ex254_20260614_0729_v3b_feedback_short,4272,696,1.162921,frontend_high,rethink high-level description and shared-structure RTL
ex245,float_fp8,Float conversion and FP8 arithmetic: FP16/BF16 to FP8 variants for ex240-ex253; FP8 addition for ex254.,9900,396,25,backend,float_fp8_v3_ga_adaptive_ex240-ex254_20260614_0729_v3b_feedback_short,10465,newseeds_float_fp8_v3a_20260614_1951,9900,float_fp8_v3_ga_adaptive_ex240-ex254_20260614_0729_v3b_feedback_short,11050,-1150,0.895928,already_beat_or_low_priority,do not spend frontend time unless polishing
ex246,float_fp8,Float conversion and FP8 arithmetic: FP16/BF16 to FP8 variants for ex240-ex253; FP8 addition for ex254.,3750,250,15,frontend,newseeds_float_fp8_v3a_20260614_1951,3750,newseeds_float_fp8_v3a_20260614_1951,4284,float_fp8_v3_ga_adaptive_ex240-ex254_20260614_0729,2805,945,1.336898,frontend_high,rethink high-level description and shared-structure RTL
