case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex274,ex274_square_block4_decomp_csel8_synth_preset_d20,unsigned_square_x_times_x,block4_decomp_csel8+synth_preset_d20,student/work/ex273_ex274_frontend_square_block4_decomp_20260609_1240/ex274/verilog/ex274_square_block4_decomp_csel8.v,student/work/ex273_ex274_frontend_square_block4_decomp_20260609_1240/ex274/aigs/ex274_square_block4_decomp_csel8_synth_preset_d20.aig,1,1,1,1128,58,65424,21630,3.024688,0,0,3.754,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=block4_decomp_csel8; flow=synth_preset_d20
ex274,ex274_square_wallace_square_outside_csel6_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel6+abc_g_aig,student/work/ex273_ex274_frontend_square_block4_decomp_20260609_1240/ex274/verilog/ex274_square_wallace_square_outside_csel6.v,student/work/ex273_ex274_frontend_square_block4_decomp_20260609_1240/ex274/aigs/ex274_square_wallace_square_outside_csel6_abc_g_aig.aig,1,1,1,967,44,42548,21630,1.967083,0,0,3.428,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=wallace_square_outside_csel6; flow=abc_g_aig
ex274,ex274_square_wallace_square_outside_csel6_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel6+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_block4_decomp_20260609_1240/ex274/verilog/ex274_square_wallace_square_outside_csel6.v,student/work/ex273_ex274_frontend_square_block4_decomp_20260609_1240/ex274/aigs/ex274_square_wallace_square_outside_csel6_wreduce_abc_g_aig.aig,1,1,1,970,44,42680,21630,1.973185,0,0,3.429,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=wallace_square_outside_csel6; flow=wreduce_abc_g_aig
ex274,ex274_square_wallace_square_outside_csel6_synth_preset,unsigned_square_x_times_x,wallace_square_outside_csel6+synth_preset,student/work/ex273_ex274_frontend_square_block4_decomp_20260609_1240/ex274/verilog/ex274_square_wallace_square_outside_csel6.v,student/work/ex273_ex274_frontend_square_block4_decomp_20260609_1240/ex274/aigs/ex274_square_wallace_square_outside_csel6_synth_preset.aig,1,1,1,964,44,42416,21630,1.960980,0,0,3.672,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=wallace_square_outside_csel6; flow=synth_preset
ex274,ex274_square_wallace_square_outside_csel6_synth_preset_d20,unsigned_square_x_times_x,wallace_square_outside_csel6+synth_preset_d20,student/work/ex273_ex274_frontend_square_block4_decomp_20260609_1240/ex274/verilog/ex274_square_wallace_square_outside_csel6.v,student/work/ex273_ex274_frontend_square_block4_decomp_20260609_1240/ex274/aigs/ex274_square_wallace_square_outside_csel6_synth_preset_d20.aig,1,1,1,964,44,42416,21630,1.960980,0,0,3.559,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=wallace_square_outside_csel6; flow=synth_preset_d20
ex274,ex274_square_wallace_square_outside_csel8_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel8+abc_g_aig,student/work/ex273_ex274_frontend_square_block4_decomp_20260609_1240/ex274/verilog/ex274_square_wallace_square_outside_csel8.v,student/work/ex273_ex274_frontend_square_block4_decomp_20260609_1240/ex274/aigs/ex274_square_wallace_square_outside_csel8_abc_g_aig.aig,1,1,1,957,49,46893,21630,2.167961,0,0,3.428,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=wallace_square_outside_csel8; flow=abc_g_aig
ex274,ex274_square_wallace_square_outside_csel8_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel8+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_block4_decomp_20260609_1240/ex274/verilog/ex274_square_wallace_square_outside_csel8.v,student/work/ex273_ex274_frontend_square_block4_decomp_20260609_1240/ex274/aigs/ex274_square_wallace_square_outside_csel8_wreduce_abc_g_aig.aig,1,1,1,961,49,47089,21630,2.177023,0,0,3.415,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=wallace_square_outside_csel8; flow=wreduce_abc_g_aig
ex274,ex274_square_wallace_square_outside_csel8_synth_preset,unsigned_square_x_times_x,wallace_square_outside_csel8+synth_preset,student/work/ex273_ex274_frontend_square_block4_decomp_20260609_1240/ex274/verilog/ex274_square_wallace_square_outside_csel8.v,student/work/ex273_ex274_frontend_square_block4_decomp_20260609_1240/ex274/aigs/ex274_square_wallace_square_outside_csel8_synth_preset.aig,1,1,1,957,48,45936,21630,2.123717,0,0,3.550,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=wallace_square_outside_csel8; flow=synth_preset
ex274,ex274_square_wallace_square_outside_csel8_synth_preset_d20,unsigned_square_x_times_x,wallace_square_outside_csel8+synth_preset_d20,student/work/ex273_ex274_frontend_square_block4_decomp_20260609_1240/ex274/verilog/ex274_square_wallace_square_outside_csel8.v,student/work/ex273_ex274_frontend_square_block4_decomp_20260609_1240/ex274/aigs/ex274_square_wallace_square_outside_csel8_synth_preset_d20.aig,1,1,1,957,48,45936,21630,2.123717,0,0,3.546,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=wallace_square_outside_csel8; flow=synth_preset_d20
ex274,ex274_square_hybrid_bddtop4_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4+abc_g_aig,student/work/ex273_ex274_frontend_square_block4_decomp_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop4.v,student/work/ex273_ex274_frontend_square_block4_decomp_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop4_abc_g_aig.aig,1,1,1,1063,41,43583,21630,2.014933,0,0,3.407,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop4; flow=abc_g_aig
