case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex275,ex275_isqrt_bdd_reverse_abc_g_aig,unsigned_floor_isqrt,bdd_reverse+abc_g_aig,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_bdd_reverse.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_bdd_reverse_abc_g_aig.aig,1,1,1,49,9,441,204,2.161765,0,0,0.189,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_reverse; flow=abc_g_aig
ex275,ex275_isqrt_bdd_reverse_wreduce_abc_g_aig,unsigned_floor_isqrt,bdd_reverse+wreduce_abc_g_aig,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_bdd_reverse.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_bdd_reverse_wreduce_abc_g_aig.aig,1,1,1,49,9,441,204,2.161765,0,0,0.187,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_reverse; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_bdd_reverse_synth_preset,unsigned_floor_isqrt,bdd_reverse+synth_preset,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_bdd_reverse.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_bdd_reverse_synth_preset.aig,1,1,1,45,9,405,204,1.985294,0,0,0.249,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_reverse; flow=synth_preset
ex275,ex275_isqrt_bdd_outside_abc_g_aig,unsigned_floor_isqrt,bdd_outside+abc_g_aig,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_bdd_outside_abc_g_aig.aig,1,1,1,53,8,424,204,2.078431,0,0,0.192,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=abc_g_aig
ex275,ex275_isqrt_bdd_outside_wreduce_abc_g_aig,unsigned_floor_isqrt,bdd_outside+wreduce_abc_g_aig,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_bdd_outside_wreduce_abc_g_aig.aig,1,1,1,53,8,424,204,2.078431,0,0,0.194,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_bdd_outside_synth_preset,unsigned_floor_isqrt,bdd_outside+synth_preset,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_bdd_outside_synth_preset.aig,1,1,1,42,8,336,204,1.647059,0,0,0.252,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=synth_preset
ex275,ex275_isqrt_bdd_center_abc_g_aig,unsigned_floor_isqrt,bdd_center+abc_g_aig,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_bdd_center.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_bdd_center_abc_g_aig.aig,1,1,1,56,9,504,204,2.470588,0,0,0.192,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_center; flow=abc_g_aig
ex275,ex275_isqrt_bdd_center_wreduce_abc_g_aig,unsigned_floor_isqrt,bdd_center+wreduce_abc_g_aig,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_bdd_center.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_bdd_center_wreduce_abc_g_aig.aig,1,1,1,56,9,504,204,2.470588,0,0,0.193,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_center; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_bdd_center_synth_preset,unsigned_floor_isqrt,bdd_center+synth_preset,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_bdd_center.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_bdd_center_synth_preset.aig,1,1,1,55,9,495,204,2.426471,0,0,0.251,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_center; flow=synth_preset
ex276,ex276_isqrt_direct_loop_abc_g_aig,unsigned_floor_isqrt,direct_loop+abc_g_aig,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex276/verilog/ex276_isqrt_direct_loop.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex276/aigs/ex276_isqrt_direct_loop_abc_g_aig.aig,1,1,1,97,27,2619,632,4.143987,0,0,0.278,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=direct_loop; flow=abc_g_aig
