case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex264,ex264_smul_baugh_wooley_dadda_hcla4_wreduce_abc_g_aig,1,484,37,17908,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex264/aigs/ex264_smul_baugh_wooley_dadda_hcla4_wreduce_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_dadda_hcla4; flow=wreduce_abc_g_aig
ex264,ex264_smul_baugh_wooley_dadda_hcla4_synth_preset_d13,1,486,39,18954,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex264/aigs/ex264_smul_baugh_wooley_dadda_hcla4_synth_preset_d13.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_dadda_hcla4; flow=synth_preset_d13
ex264,ex264_smul_baugh_wooley_dadda_pfx6_abc_g_aig,1,481,41,19721,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex264/aigs/ex264_smul_baugh_wooley_dadda_pfx6_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_dadda_pfx6; flow=abc_g_aig
ex264,ex264_smul_baugh_wooley_dadda_pfx6_wreduce_abc_g_aig,1,481,41,19721,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex264/aigs/ex264_smul_baugh_wooley_dadda_pfx6_wreduce_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_dadda_pfx6; flow=wreduce_abc_g_aig
ex264,ex264_smul_baugh_wooley_dadda_pfx6_synth_preset_d13,1,481,41,19721,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex264/aigs/ex264_smul_baugh_wooley_dadda_pfx6_synth_preset_d13.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_dadda_pfx6; flow=synth_preset_d13
ex264,ex264_smul_baugh_wooley_dadda_abc_g_aig,1,482,41,19762,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex264/aigs/ex264_smul_baugh_wooley_dadda_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_dadda; flow=abc_g_aig
ex264,ex264_smul_baugh_wooley_dadda_wreduce_abc_g_aig,1,482,41,19762,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex264/aigs/ex264_smul_baugh_wooley_dadda_wreduce_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_dadda; flow=wreduce_abc_g_aig
ex264,ex264_smul_baugh_wooley_dadda_synth_preset_d13,1,482,41,19762,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex264/aigs/ex264_smul_baugh_wooley_dadda_synth_preset_d13.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_dadda; flow=synth_preset_d13
ex264,ex264_smul_baugh_wooley_wallace_hcla4_abc_g_aig,1,488,28,13664,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex264/aigs/ex264_smul_baugh_wooley_wallace_hcla4_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig,1,489,28,13692,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex264/aigs/ex264_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_hcla4; flow=wreduce_abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_hcla4_synth_preset_d13,1,489,27,13203,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex264/aigs/ex264_smul_baugh_wooley_wallace_hcla4_synth_preset_d13.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d13
ex264,ex264_smul_baugh_wooley_wallace_pfx6_abc_g_aig,1,496,29,14384,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex264/aigs/ex264_smul_baugh_wooley_wallace_pfx6_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_pfx6; flow=abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_pfx6_wreduce_abc_g_aig,1,497,30,14910,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex264/aigs/ex264_smul_baugh_wooley_wallace_pfx6_wreduce_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_pfx6; flow=wreduce_abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_pfx6_synth_preset_d13,1,487,31,15097,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex264/aigs/ex264_smul_baugh_wooley_wallace_pfx6_synth_preset_d13.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_pfx6; flow=synth_preset_d13
